证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
830920.OC,2010,2014-08-06,西南证券股份有限公司,非高新产业区,非金属矿物制品业,,2014,8,聚融集团,60109742.55,9975521.51,39256922.38,36288406.64,1032954.68,1320161.17,364206.31,1025.57,,,97355.83,10638670.51,28671881.43,0.0017,4906760.9,,-5729765.22,-13649179.05,14183107.32,,,挂牌前,-4
830937.OC,2010,2014-08-11,财富证券有限责任公司,长沙高新区,通用设备制造业,,2014,8,信达智能,40157707.41,21946142.8,31449717.85,21688664.14,1515647.15,3541483.94,201431.12,3171021.71,,,14749270.85,17351950.72,4113413.76,7.9041,,,,,,,,挂牌前,-4
830978.OC,2008,2014-08-08,国信证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,8,先临三维,42641248.74,37321519.45,30864380.79,11378956.41,1303113.73,2118067.96,-166913.2,12516566.55,-935647.75,13452214.3,11523717.75,6833258.34,630878.11,44.2063,,,,,,,,挂牌前,-4
830987.OC,2010,2014-08-12,兴业证券股份有限公司,非高新产业区,印刷和记录媒介复制业,,2014,8,四平包装,22176152.11,5736557.6,28425014.4,25950586.93,,1600471.43,446322.65,889958.21,,,-2692146.82,3692024.47,4167239.04,4.0131,502117.86,,-1472708.54,-300470.66,-2782931.47,,,挂牌前,-4
831006.OC,2010,2014-08-19,申万宏源证券有限公司,非高新产业区,化学原料和化学制品制造业,,2014,8,久易农业,139978555.36,60130691.7,135298239.37,105258282.48,3680865.75,5286635.28,516574.71,17588590.41,,,-10793593.49,53215619.48,20209337.09,16.3975,1729756.62,,-9477489.62,-44748893.08,22841401.75,,,挂牌前,-4
831029.OC,2010,2014-08-29,申万宏源证券有限公司,非高新产业区,农、林、牧、渔服务业,,2014,8,银丰棉花,3760115217.53,260753563.13,2146867132.43,1928959361.42,49226420.99,41932998.89,54816028.1,83795954.24,23213812.84,60582141.4,-1789919504.46,23880371.96,117579514.32,3.2839,,,,,,,,挂牌前,-4
831039.OC,2008,2014-08-19,海通证券股份有限公司,非高新产业区,专业技术服务业,,2014,8,国义招标,529973117.12,107406674.63,333389324.19,266614681.59,24520510.96,7712724.67,-9443964.41,30718828.7,4220958.14,26497900.0,48365603.74,21743661.14,16138663.65,6.9819,745800.0,208000.0,-45258500.0,128147500.0,-65824500.0,,,挂牌前,-4
831074.OC,2009,2014-08-20,首创证券有限责任公司,非高新产业区,通用设备制造业,,2014,8,佳力科技,671262516.95,271016564.47,325969327.29,224678870.84,15888481.26,31745202.8,9289269.71,42118544.47,3206218.85,38912325.62,27294016.78,127150020.94,210661756.03,6.7246,19113000.0,,14702700.0,-25364200.0,-30265300.0,,,挂牌前,-4
831085.OC,2010,2014-08-19,招商证券股份有限公司,广州高新区,仪器仪表制造业,,2014,8,博冠股份,34396187.0,2670334.03,76619952.47,61042738.42,5469240.41,7916349.45,582764.19,1382607.38,,,1025357.33,12611711.61,1137362.68,4.0197,432491.36,142585.01,548607.03,2424585.73,-5976387.31,,,挂牌前,-4
831099.OC,2010,2014-08-29,东方花旗证券有限公司,非高新产业区,房屋建筑业,,2014,8,维泰股份,1865757760.47,392844156.17,884116036.35,700884675.98,1109843.09,42054606.22,9559890.75,78472919.31,,,221236220.91,100406230.5,61490662.0,5.9636,8881489.15,479966.1,-449053317.72,-175596930.17,751918080.5,,,挂牌前,-4
