证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
834201.OC,2008,2015-11-19,国泰君安证券股份有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,11,柳鑫股份,,,201530000,,,,,,,,,,,,,,,,,,,挂牌前,-7
834201.OC,2009,2015-11-19,国泰君安证券股份有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,11,柳鑫股份,,,250000000,,,,,,,,,,,,,,,,,,,挂牌前,-6
834201.OC,2010,2015-11-19,国泰君安证券股份有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2015,11,柳鑫股份,,,273000000,,,,,,,,,,,,,,,,,,,挂牌前,-5
834229.OC,2006,2015-12-22,中信建投证券股份有限公司,南京高新区,专用设备制造业,,2015,12,南京微创,30767844.83,19327145.92,26799135.07,12317522.68,2011050.71,4717573.42,-23549.92,7283061.44,,,,1773714.78,9458381.67,,,,,,,,,挂牌前,-8
834229.OC,2007,2015-12-22,中信建投证券股份有限公司,南京高新区,专用设备制造业,,2015,12,南京微创,51877988.72,30445225.84,44925617.13,19545263.29,2437145.71,7589415.32,-110000.75,14118079.92,,,16255931.23,1352724.69,15603588.65,34.1679,710197.47,,-4370569.48,1204864.34,4279604.53,,,挂牌前,-7
834229.OC,2008,2015-12-22,中信建投证券股份有限公司,南京高新区,专用设备制造业,,2015,12,南京微创,67195586.21,44049574.98,65463589.42,30439278.66,3739440.68,10105405.87,398282.28,17786344.87,,,14503912.02,3953584.34,18326212.56,29.8745,1218254.32,,-6099207.78,5308462.27,6372372.11,,,挂牌前,-6
834229.OC,2009,2015-12-22,中信建投证券股份有限公司,南京高新区,专用设备制造业,,2015,12,南京微创,88163399.97,63605018.26,81651931.7,40030584.1,3099618.67,11688881.56,-630295.14,24211450.25,,,28612086.91,5093037.67,15019717.23,31.1684,1340819.06,16311.96,-2419054.58,-1886294.39,7932464.67,,,挂牌前,-5
834410.OC,2007,2015-12-16,平安证券有限责任公司,非高新产业区,非金属矿物制品业,,2015,12,苏州电瓷,244154740.33,99432514.23,206778203.05,125596169.99,14877326,25632600.15,4738733.7,30444658.63,,,25444833.53,53647865.3,75282325.97,12.4694,,,,,,,,挂牌前,-8
834410.OC,2008,2015-12-16,平安证券有限责任公司,非高新产业区,非金属矿物制品业,,2015,12,苏州电瓷,310587343.44,127632486.87,260641447.93,159984835.85,17067802.05,34000367.35,6139925.27,37199972.64,,,41864568.57,66511325.66,129777115.45,13.4116,,,,,,,,挂牌前,-7
834410.OC,2009,2015-12-16,平安证券有限责任公司,非高新产业区,非金属矿物制品业,,2015,12,苏州电瓷,369774456.6,146968878.56,309668315.19,213885567.49,19213544.51,31982991.76,4295302.04,37336391.69,,,57529664.8,75861781.28,129436247.36,10.9755,9990516.06,134601.5,-11450631.16,-2344943.14,43609423.39,,,挂牌前,-6
834410.OC,2010,2015-12-16,平安证券有限责任公司,非高新产业区,非金属矿物制品业,,2015,12,苏州电瓷,440338392.61,163242637.33,415893244.94,308200674.08,24318003.88,37807500.42,5063868.56,34273758.77,,,26202137.74,103131664.25,156710215.57,8.4615,11484593.35,,-4684451.09,-34312412.71,27599884.74,,,挂牌前,-5
834533.OC,2009,2015-12-31,兴业证券股份有限公司,非高新产业区,非金属矿物制品业,,2015,12,联冠电极,206520442.04,60581990.04,154998291.93,106403965.5,8701748.5,6376805.1,6180819.11,25397316.82,1045500,24351800,13748016.53,13468282.06,47529628.63,12.2977,3815900,,-4100700,-19743000,1663000,,,挂牌前,-5
834599.OC,2008,2015-12-14,安信证券股份有限公司,西安高新区,通用设备制造业,,2015,12,同力股份,117468920.67,71060536.91,173958763.08,135757843.35,4367584.73,5855381.09,-135889.59,24490338.57,-77795.31,24568133.88,19109717.28,7507092.68,1400604.3,20.8484,,,,,,,,挂牌前,-5
834607.OC,2008,2015-12-22,申万宏源证券有限公司,非高新产业区,化学原料和化学制品制造业,,2015,12,祥云股份,,,2148000000,,,,,,,,,,,,,,,,,,,挂牌前,-5
834608.OC,2007,2015-12-08,中泰证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2015,12,星光影视,378902079.26,191786406.7,368298728.6,284870638.01,11622788.56,14720428.25,5727086.52,33601972.46,2343212.06,31258760.4,15085323.91,107330787.41,64485046.88,8.9622,,,,,,,,挂牌前,-6
834608.OC,2008,2015-12-08,中泰证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2015,12,星光影视,474348049.51,230574729.32,483361810.88,365941337.59,27480474.93,29684774.2,9097378.71,37336476.62,1138136.65,36198339.97,1746383.19,139083447.03,68500525.91,8.7584,5510000,,-53155700,-38565800,36465300,,,挂牌前,-5
834693.OC,2008,2015-12-17,上海证券有限责任公司,非高新产业区,电气机械和器材制造业,,2015,12,金陵电机,90610000,,,,,,,,,,,,,,,,,,,,,挂牌前,-7
834693.OC,2009,2015-12-17,上海证券有限责任公司,非高新产业区,电气机械和器材制造业,,2015,12,金陵电机,75530000,,,,,,,,,,,,,,,,,,,,,挂牌前,-6
834693.OC,2010,2015-12-17,上海证券有限责任公司,非高新产业区,电气机械和器材制造业,,2015,12,金陵电机,85540000,,145800000,,,,,,,,,,,,,,,,,,,挂牌前,-5
834711.OC,2009,2015-12-11,南京证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2015,12,固德电材,22163174.51,3935383.55,48024300.29,39170038.59,3585999.86,1140942.43,69452.41,2781213.07,,,5093543.85,9665144.41,5832690.78,12.5488,,,,,,,,挂牌前,-6
834711.OC,2010,2015-12-11,南京证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2015,12,固德电材,49238790.36,25749319.4,120801152.4,90853633.37,8718282.87,3108446.61,91036.55,12813935.85,,,-1710130.47,19482676.5,6707945.89,35.8924,,,,,,,,挂牌前,-5
834718.OC,2009,2015-12-22,国信证券股份有限公司,中关村科技园区,生态保护和环境治理业,,2015,12,绿创声学,156108846.23,108262429.66,84894078.01,56198318.86,3873331.11,8287784.32,983888.6,13123173.63,,,4412443.52,63187307.79,18050186.73,8.4064,1247495.7,1076666.64,-3402337.34,-9787385.05,160796.23,,,挂牌前,-6
834718.OC,2010,2015-12-22,国信证券股份有限公司,中关村科技园区,生态保护和环境治理业,,2015,12,绿创声学,211047754.25,117770227.18,169927120.51,120315397.52,4900023.18,8700286.69,3055719.5,28291797.52,,,5200165.54,86935497.28,18306978.62,15.4113,1774528.23,,-10061504.39,-32316134.36,12039373.03,,,挂牌前,-5
