,证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,
69471,830816.OC,2013,2014-06-25,兴业证券股份有限公司,非高新产业区,通用设备制造业,,2014,6,卡特股份,40721339.89,17297005.8,20043064.67,11357084.99,1837226.11,4848235.38,626449.04,2633096.95,1862158.38,770938.57,-4895615.87,10991942.6,18498074.34,7.4923,1376703.25,,-1114248.34,-9718400.83,961296.07,,,,1
69472,830817.OC,2013,2014-06-20,安信证券股份有限公司,杭州高新区,仪器仪表制造业,,2014,6,鼎炬科技,30509410.02,9792997.84,19323599.06,13343902.3,1115222.7,4657236.6,1010129.97,160343.07,259433.81,-99090.74,480872,8092388.83,944710.89,0.559,112050.94,49069.44,-49697.05,-1176055.3,-23367.84,,,,1
69473,830818.OC,2013,2014-06-30,东吴证券股份有限公司,非高新产业区,电气机械和器材制造业,,2014,6,巨峰股份,682993392.3,325556720.69,499281714.88,393132992.14,12063866.83,44934769.66,18741032.94,29969054.33,9182046.57,20787007.76,-27784312.14,188955304.72,260590779.84,4.5454,14499624.43,86039.76,-3603474.57,-34279051.66,-53034506.48,,,,1
69474,830819.OC,2013,2014-06-24,中银国际证券有限责任公司,中关村科技园区,软件和信息技术服务业,,2014,6,致生联发,74411410.98,50591828.68,59753687.25,41747142.12,243418.81,13444212.48,283259.17,4604302.54,465182.37,4139120.17,-13305167.35,14542716.1,1137444.98,7.0687,351597.56,956370.86,-2984645.03,-30492391.49,9033471.58,,,,1
69475,830820.OC,2013,2014-06-30,安信证券股份有限公司,营口高新区,专用设备制造业,,2014,6,大族冠华,650705839.48,293069806.34,268928223.48,172638648.01,58336630.73,51998567.04,14042112.3,-15152795.46,3183398.55,-18336194.01,-24811548.69,84351188.96,200504546.97,-2.8271,18299018.52,,-102787998.94,51297562.24,2096526.54,,,,1
69476,830821.OC,2013,2014-06-23,国元证券股份有限公司,非高新产业区,食品制造业,,2014,6,雪郎生物,161324257.28,98429449.07,86870029.05,79359747.02,4036942.31,6752662.2,2775122.41,513351.86,5439728,-4926376.14,2256466.01,6755884.53,70449541.18,0.3669,3620905.69,39114.61,-1313548.55,9613820.75,-12537468.08,,,,1
69477,830822.OC,2013,2014-07-01,国金证券股份有限公司,非高新产业区,通用设备制造业,,2014,7,海容冷链,455549511.34,104679739.75,469233545.62,360851168.69,36725382.21,33539510.39,7504593.08,25018924.82,2087600,22931300,60166689.88,92317137.29,108482097.51,6.4287,,,,,,,,,1
69478,830823.OC,2013,2014-07-02,方正证券股份有限公司,长沙高新区,电气机械和器材制造业,,2014,7,拓天节能,11124999.06,8984162.77,9917119.74,8504505.21,109696.29,2799114.47,2250.47,-543014.63,996798.49,-1539813.12,130044.35,6097678.79,194121.36,-4.6817,104263.29,,2216284.96,-1247174.03,-382553.56,,,,1
69479,830824.OC,2013,2014-06-24,兴业证券股份有限公司,非高新产业区,专用设备制造业,,2014,6,华虹科技,71804437.64,46287139.96,26388149.59,4284434.56,9719855.89,10501969.07,1270471.54,1785029.1,1017888.25,767140.85,-9553251.63,30292088.31,6146439.89,2.6902,1180487.89,23324.89,-315938.16,-16630036.13,2428970.2,,,,1
69480,830825.OC,2013,2014-06-27,中信建投证券股份有限公司,非高新产业区,橡胶和塑料制品业,,2014,6,和泰塑胶,54873029.12,15920296.33,82630150.22,71735124.27,2754012.13,3392168.47,2399754.39,1728025.71,178788.28,1549237.43,5880954.11,13750005.95,13149163.46,3.5513,1418949,96577.61,-4475461.16,-3421325.77,7954822.4,,,,1
69481,830826.OC,2013,2014-07-08,中泰证券股份有限公司,非高新产业区,通用设备制造业,,2014,7,泰瑞机械,30166001.26,11787991.99,14516383.22,11253833.47,200014.6,846341.74,436848.11,1319481.71,52500,1266981.71,-3573571.44,6117062.41,2229134.35,4.3786,334834.63,,2001138.67,-4204589.75,-3481406.51,,,,1
69482,830827.OC,2013,2014-06-27,国盛证券有限责任公司,湘潭高新区,电气机械和器材制造业,,2014,6,世优电气,122198122.14,25788237.36,87737766.73,64668770.31,2706518.55,8153093.15,959251.6,8057753.36,82577.14,7975176.22,-21866469.06,71530552.15,10852236.77,9.0264,615904.98,419284.42,-7749225.44,-63115295.14,39193960.88,,,,1
69483,830828.OC,2013,2014-07-04,安信证券股份有限公司,非高新产业区,农业,,2014,7,万绿生物,220044785.71,103111950.87,125961517.24,69766117.04,14793266.52,19761098.1,5901433.44,24551151.58,9161201.08,15389950.5,37977492.18,14882211.88,74249375.03,11.7825,14187034.35,806301.94,-2149720.33,-2156390.42,-4367717.43,,,,1
69484,830829.OC,2013,2014-07-01,国金证券股份有限公司,非高新产业区,黑色金属冶炼和压延加工业,,2014,7,华精新材,334410171.16,107846942.93,751050590.11,677398607.96,11870339.24,35152535.84,11582789.48,12822554.73,145451.85,12677102.88,58843490.93,25640086.02,107568428.68,3.7936,12581711.58,,35397783.62,-23241384.92,11456988.97,,,,1
69485,830830.OC,2013,2014-07-07,东莞证券股份有限公司,非高新产业区,电气机械和器材制造业,,2014,7,新昶虹,116878778.87,82914217.28,46206731.26,30866386.61,1934304.06,8460572.99,1034149.62,1106780.55,3869.79,1102910.76,-16854252,31289645.35,32930858.16,0.9305,3057175.06,202995.09,2995143.82,7515505.18,-34520923.73,,,,1
69486,830831.OC,2013,2014-06-26,申万宏源证券有限公司,非高新产业区,非金属矿物制品业,,2014,6,华泰集团,339078902.98,134922283.11,197422787.98,140309444.29,13369696.42,15968530.91,10908685.33,22358300.84,10666498.09,11691802.75,-5529441.01,39894216.75,143264580.35,6.8101,15220306.43,55527.48,-15284279.29,-22176492.85,-18210992.44,,,,1
69487,830832.OC,2013,2014-07-09,招商证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2014,7,齐鲁华信,410203042.13,191832768.86,245786774.26,189310119.86,3468832.47,32961359.58,3739672.72,8359778.04,723437.12,7636340.92,21257297.76,76881980.72,94467443.18,2.2513,15881390.96,,-7258032.65,-79362957.11,78579511.15,,,,1
69488,830833.OC,2013,2014-07-04,长江证券股份有限公司,武汉东湖高新区,食品制造业,,2014,7,九生堂,24909913.17,5409916.22,5307386.32,1252704.15,629468.79,2144173.34,182475.99,1069245.84,147172.44,922073.4,3906126.38,8664,682761.62,5.6656,46085.34,,102911.3,3165472.6,-529990.78,,,,1
69489,830834.OC,2013,2014-07-09,中泰证券股份有限公司,非高新产业区,化学原料和化学制品制造业,,2014,7,信达化工,136993115.14,74608075.83,101412584.9,79837291.3,2057014.79,4667579.11,1423600.49,9792437.99,266733.5,9525704.49,5141138.81,18960902.9,49949272.15,9.0124,4393341.94,44444.45,-9399151.51,-12663243.89,10096752.28,,,,1
69490,830835.OC,2013,2014-07-08,招商证券股份有限公司,贵阳高新区,专业技术服务业,,2014,7,南源电力,66304229.68,37737918.04,61525361.46,38839788.35,5083223.29,9093135.37,1586911.45,4827747.83,1353572.12,3235310.04,-2463195.57,24577768.96,4520310.51,8.6063,1202571.75,,-11993.57,-7798261.18,-2323078.05,,,,1
69491,830836.OC,2013,2014-07-11,长江证券股份有限公司,武汉东湖高新区,商务服务业,,2014,7,荆楚网,117094965.54,51803266.73,33318623.27,31327487.23,254147.76,21804875.65,-242248.57,-1827158.21,14558966.36,-16386124.57,-27622594.53,4174348.2,9250197.35,-2.1266,1459062.37,,-85470.09,-55105276.35,27340828.39,,,,1
69492,830837.OC,2013,2014-07-08,财达证券有限责任公司,非高新产业区,其他制造业,,2014,7,古城香业,262451029.31,161608563.12,218219939.16,121975392.89,11008459.92,18760535.86,1488495.04,52957116.24,454035.68,52503080.56,57043138.73,17015082.9,46212334.56,19.0803,6339480.55,,-7266462.12,2416312.31,602274.45,,,,1
69493,830838.OC,2013,2014-07-25,招商证券股份有限公司,深圳高新区,专用设备制造业,,2014,7,新产业,540963177.32,378842982.45,378122833.83,104912572.65,73963251.98,33545392.56,1378787.71,141267859.65,2509730.63,138758129.02,136917440.12,65967559.99,17231045.33,33.0811,,,,,,,,,1
69494,830839.OC,2013,2014-07-14,中泰证券股份有限公司,非高新产业区,通用设备制造业,,2014,7,万通液压,349087917.15,182211663.39,170081137.92,139206864.26,7632234.88,16722304.76,4126084.45,6032232.64,3707400,2324800,23689196.73,74246445.56,76634461.38,1.6994,7803753.25,,51664.26,20617175.16,-13535949.71,,,,1
69495,830840.OC,2013,2014-07-15,国信证券股份有限公司,武汉东湖高新区,计算机、通信和其他电子设备制造业,,2014,7,永力科技,171434335.79,165009403.2,58988275.41,36683976.32,3296534.85,8457645.68,-4599159.3,10293817.34,2724035.71,7569781.63,46342640.17,30510443.5,15216576.84,6.1841,1364337.66,,2562704.19,30680258.97,-694632.82,,,,1
69496,830841.OC,2013,2014-07-08,国信证券股份有限公司,佛山高新区,电气机械和器材制造业,,2014,7,长牛股份,51818095.32,27444046.41,34226834.32,21135495.14,2974333.38,3916907.31,204685.22,5285539.15,415656.41,4869882.74,597060.94,22363026.81,6484582.07,11.5852,1164353.12,,519154.15,-5834566.42,-1013439.23,,,,1
69497,830842.OC,2013,2014-07-11,中国中投证券有限责任公司,非高新产业区,专业技术服务业,,2014,7,长天思源,41594929.17,17075425.09,32888457.15,20747381.23,2640386.37,6294258.97,12440.54,3641153.34,655387.92,2985765.42,4057985.02,13910359.82,2502063.09,7.7684,460228.09,295080.48,-3918308.16,-2772041.83,6759941,,,,1
69498,830843.OC,2013,2014-07-09,兴业证券股份有限公司,非高新产业区,专用设备制造业,,2014,7,沃迪装备,175781405.41,79701385.45,99587217.06,60262382.41,11402737.02,19988055.56,2682556.42,9707526.38,5599414.83,4108111.55,10761226.82,22646472.78,75389496.56,5.5493,4970182.18,,131599.82,-8855280.14,1355519.98,,,,1
69499,830844.OC,2013,2014-07-18,中信证券股份有限公司,非高新产业区,电气机械和器材制造业,,2014,7,鸿远电气,23339757.99,9571817.66,21094880.18,14646737.84,671633.43,3256354.54,533199.18,1890482.22,316201.6,1574280.62,-616968.87,5915814.73,2162286.67,10.7071,193651.06,6750,-794895.72,-2880070.72,679744.04,,,,1
69500,830845.OC,2013,2014-07-14,国信证券股份有限公司,深圳高新区,软件和信息技术服务业,,2014,7,芯邦科技,141616204.78,128694596.25,96839420.67,60292450.27,11414482.05,20728724.62,750228.09,1479789.55,3749720.96,-2269931.41,12696643.61,6673389.35,3210617.49,1.0679,4719100.42,34403.96,-6923932.22,2413202.17,5149699.89,,,,1
69501,830846.OC,2013,2014-07-14,中泰证券股份有限公司,潍坊高新区,专业技术服务业,,2014,7,格林检测,17137939.08,16537458.52,7125043.35,3424167.67,284555.52,1748224.06,314125.94,982510.68,-2599.76,985110.44,2342501.92,99256,7601278.96,5.9562,1457220.55,,,5024378.97,-5610725.71,,,,1
69502,830847.OC,2013,2014-07-11,湘财证券股份有限公司,乐山高新区,电气机械和器材制造业,,2014,7,晟嘉电气,84097436.06,30708933.86,51596094.88,39218017.17,2411824.93,6150594.14,1702952.09,1134242.87,712723.54,421519.33,-8607548.56,37109330.75,21945508.34,1.5347,1399177.18,75240,-2398025.55,-8527522.43,-3233123.39,,,,1
69503,830848.OC,2013,2014-07-14,中泰证券股份有限公司,厦门火炬高新区,电气机械和器材制造业,,2014,7,鑫森海,48272429.28,30234245.1,79271576.55,61857172.81,1245993.54,9103613.88,110097.79,5502398.21,90851.25,5411546.96,1067878.31,16499571.7,18050385.64,11.804,1754922.99,,2237658.07,-9215280.69,251993.91,,,,1
69504,830849.OC,2013,2014-07-11,中信建投证券股份有限公司,非高新产业区,专用设备制造业,,2014,7,平原非标,704342636.05,279456601.61,362665757.52,265749375.71,4818713.72,43360889.42,9481570.28,29668154,-563895.41,30232049.41,5555993.51,45228691.21,73509704.05,4.5925,4578351.63,,-103579407.52,-7791792.05,75919183.22,,,,1
69505,830850.OC,2013,2014-07-14,中山证券有限责任公司,非高新产业区,批发业,,2014,7,万企达,181060308.87,132133175.7,437185909.01,393528618.13,11896330.51,12401133.51,1090642.04,12252684.09,10694.14,12241989.95,-19242135.92,44342358.67,9448673.49,7.9801,701369.23,,-44971483.56,-7837681.58,18213495.7,,,,1
69506,830851.OC,2013,2014-07-08,国信证券股份有限公司,非高新产业区,畜牧业,,2014,7,骏华农牧,68894179,58209380.54,14762056.63,10033389.14,511459.5,1657828.74,2111.3,3020628.21,497024.75,2537853.46,-42611792.47,639625.24,19900190.28,5.4157,2168987.19,14250,-6104373.63,-2792918.41,-39860401.53,,,,1
69507,830852.OC,2013,2014-07-16,南京证券股份有限公司,沈阳高新区,通用设备制造业,,2014,7,中科仪,403520657.72,215501693.16,120711572.61,81503299.92,8751834.73,88259777.17,-2206171.7,14312160.77,58420015.25,-44107854.48,-64689795.27,58125308.97,82305532.46,3.4885,9939355.8,,-23292291.14,-13765575.49,-52444116.76,,,,1
69508,830853.OC,2013,2014-07-14,申万宏源证券有限公司,非高新产业区,橡胶和塑料制品业,,2014,7,天加新材,18660723.74,17857983.64,10824614.81,9016393.75,501547.64,3095170.19,-16593.18,-1224037.93,597128.76,-1821166.69,652678.81,1093382.38,9160593.2,-6.5898,1091874.71,,188915.16,580252.85,-10847.81,,,,1
69509,830854.OC,2013,2014-07-11,华林证券有限责任公司,非高新产业区,化学原料和化学制品制造业,,2014,7,族兴新材,330448444.67,218723412.92,201187356.12,129205393.68,12536997.97,28215119.91,7325755.39,21284249.5,3198181.68,18086067.82,14955658.15,67868338.85,121879040.95,6.6819,,,,,,,,,1
69510,830855.OC,2013,2014-07-04,爱建证券有限责任公司,石嘴山高新区,专用设备制造业,,2014,7,盈谷股份,301103100.28,214280862.78,53231508.86,36425297.38,1215630.01,18135065.53,-903593.55,-8657987.99,2860543.39,-11518531.38,-1325758.79,63198578.55,58665320.07,-2.605,4586333.1,,28126555.2,48994897.72,-84329498.58,,,,1
69511,830856.OC,2013,2014-07-15,中国民族证券有限责任公司,非高新产业区,专用设备制造业,,2014,7,合矿股份,65313123.73,24337389.22,16449481,13590615.51,876478.11,2554386.15,1088233.73,-910132.23,474789.62,-1384921.85,-890564.77,2980249.84,23542489.34,-1.5432,1005164.23,,-7303978.69,3497945.55,1597981.35,,,,1
69512,830857.OC,2013,2014-07-11,东海证券股份有限公司,非高新产业区,印刷和记录媒介复制业,,2014,7,金冠科技,128012507.45,73852065.14,106692064.67,67960085.57,6201082.49,13382990.58,1462774.29,14336170.8,791132.6,13545038.2,12847360.6,38071904.62,60445453.8,11.7543,6689455.55,7788.96,-566054.12,-3639673.06,-6569304.69,,,,1
69513,830858.OC,2013,2014-07-24,招商证券股份有限公司,中关村科技园区,教育,,2014,7,华图教育,479727818.89,236135231.84,984384765.91,370138630.3,204950562.78,207376084.94,2534687.55,120430085.34,4321626.03,116108459.31,182330013.66,11546435.16,18192588.35,30.2723,9068115.48,13917046.75,-54301589.18,-24924061.89,100028720.97,,,,1
69514,830859.OC,2013,2014-07-21,长江证券股份有限公司,武汉东湖高新区,畜牧业,,2014,7,金旭农发,463061252.72,321416211.36,276202636,260940590.19,7767352.26,20749070.96,5426620.76,-734704.61,5996449.3,-6731153.91,-30828085.27,3795140.59,171472053.18,-0.4921,23676393.32,1204590.52,-23652686.01,-11845529.91,-19579157.91,,,,1
69515,830860.OC,2013,2014-07-14,财通证券股份有限公司,银川高新区,软件和信息技术服务业,,2014,7,奥特股份,32508444.67,21966711.82,16110061.46,8864917.14,811718.53,5753704.25,27886.59,2523630.51,2339285.48,184345.03,-2026035.56,16766808.91,2257699.64,8.1411,1671359.11,323634.96,1484642.84,-9271015.99,94441.98,,,,1
69516,830861.OC,2013,2014-07-14,申万宏源证券有限公司,合肥高新区,软件和信息技术服务业,,2014,7,金诺科技,23061905.46,14826214.27,20700850.48,11809784.45,3121941.47,2908206.33,795177.32,2435634.39,964494.4,1471139.99,-2463100.73,11411443.21,652467.05,13.1593,362116.45,,,-5330872.98,966263.05,,,,1
69517,830862.OC,2013,2014-07-15,广州证券股份有限公司,广州高新区,电气机械和器材制造业,,2014,7,丰海科技,25565735.65,11290339.07,27807395.35,21665390.65,2349304.45,1474170.07,96965.51,1442038.73,126940.33,1315098.4,2223389.86,13282042.72,1725812.52,6.4099,366998.78,,363143.74,-5542882.99,5944264.33,,,,1
69518,830863.OC,2013,2014-07-22,广发证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2014,7,瑞华天健,7349457.33,6415270.94,11007290.34,7701682.31,470111.06,2735581.53,2443.75,943492.48,949229.42,-5700,-1357197.24,2084461.6,117946.83,11.6704,57885.29,51293.4,1986299.19,2734761.96,-6782160.53,,,,1
69519,830864.OC,2013,2014-07-17,中国中投证券有限责任公司,大连高新区,软件和信息技术服务业,,2014,7,诚思科技,13803427.89,11288824.96,21360406.32,8934778.67,228857.96,7082776.49,1736524.2,4047368.25,1200110.41,2847257.84,6148966.47,4387780.21,293190.85,36.041,223187.46,82899.2,-384615.4,-892558.34,1495162.9,,,,1
69520,830865.OC,2013,2014-07-16,广发证券股份有限公司,非高新产业区,零售业,,2014,7,南菱汽车,2102319670.1,419967448.17,3506248502.53,3152606772.74,179539675.14,65439346.41,53096615.77,32521249.75,1681136.51,30840113.24,-29484602.03,60104298.6,422994312.88,1.7146,37067264.41,2072699.38,-272653515.83,-100459161.62,229162470.08,,,,1
69521,830866.OC,2013,2014-07-30,天风证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,7,凌志软件,181116758.31,154581384.61,223727805.2,114777692.9,12459404.87,54368917.29,-7836413.11,52611483.94,15912955.21,36698528.73,54144585.56,21167081.39,50330354.06,31.1471,2578692.4,1342420.31,,-13688077.41,4654435.14,,,,1
69522,830867.OC,2013,2014-07-15,长江证券股份有限公司,武汉东湖高新区,电气机械和器材制造业,,2014,7,全华光电,15982028.71,10906412.32,8347687.07,5299433.08,424452.06,1490781.93,44268.91,735655.3,161260.13,574395.17,2569228.81,4739957.51,887171.6,5.5527,105473.11,,-182397.03,1290440.03,186477.83,,,,1
69523,830868.OC,2013,2014-07-16,南京证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,7,建策科技,2289880.01,1724353.83,6154497.39,2583358.1,200499.5,2412953.79,-1004.99,560668.51,-3683.1,564351.61,1116228.98,140419,808054.82,29.5093,216613.95,,212411.64,-92668.99,219150.54,,,,1
69524,830869.OC,2013,2014-07-18,东方花旗证券有限公司,天津滨海高新技术产业开发区,非金属矿物制品业,,2014,7,英康科技,71684966.98,18743965.87,81174209.43,68167899.12,1378665.06,6961319.85,190030.86,2655619.48,2002.5,2653616.98,59932.51,23174854.44,16467574.44,3.551,1926591.76,,1821198.36,5168665.14,-11742477.02,,,,1
69525,830870.OC,2013,2014-07-21,招商证券股份有限公司,非高新产业区,专用设备制造业,,2014,7,松宝智能,89863441.57,60690678.22,91134556.09,59913213.15,4516309.2,8434179.72,4937.85,20992299.3,1909460.11,19082800,-9582175.73,14045609.21,4847046.02,27.4449,554181.02,,-7440767.78,-12180661.2,-7326340.73,,,,1
69526,830871.OC,2013,2014-07-17,国泰君安证券股份有限公司,中关村科技园区,仪器仪表制造业,,2014,7,天元晟业,6141139.19,5703037.97,4699237.06,2716741.94,759871.68,1415620.74,-1427.36,129936.46,245438.16,-115501.7,-597925.04,737783.88,65956.78,3.5147,20601.8,,-172559.71,-350147.89,-191637.87,,,,1
69527,830872.OC,2013,2014-07-23,财富证券有限责任公司,长沙高新区,软件和信息技术服务业,,2014,7,长信畅中,68141671.41,31168792.95,36334342.62,22629266.59,3025491.22,9413619.31,1155133.62,-354431.92,1035662.55,-1390094.47,-11442639.86,24851675.44,12739062.92,-0.7798,978078.48,56266.79,-5740869.23,-14182840.5,4303956.28,,,,1
69528,830873.OC,2013,2014-07-16,申万宏源证券有限公司,中关村科技园区,专业技术服务业,,2014,7,奥测世纪,10266738.33,8370094.91,12763201.53,6630935.21,228268.18,3712913.54,30102.7,1621210.41,119769.62,1501440.79,726352.26,3439279.2,1444203.3,23.0896,313943.07,15572.24,,-1685850.61,521331.28,,,,1
69529,830874.OC,2013,2014-07-21,上海证券有限责任公司,非高新产业区,专用设备制造业,,2014,7,金田元丰,47530488.17,29490859.27,21917938.14,14659495.61,457438.98,5602401.1,983954.45,404206.26,415948.23,-11741.97,2230931.71,6883103.96,28264786.97,0.8966,2725644.14,60000,-140014.62,-1558072.81,-389456.33,,,,1
69530,830875.OC,2013,2014-07-17,长江证券股份有限公司,非高新产业区,农业,,2014,7,千草生物,66631592.84,36786191.04,11285065.06,6814729.24,228498.68,3600436.05,1667099.56,1000640.46,1013000,-12400,9846283.97,1122900,37059301.77,1.7612,2126437.01,,-2447552.18,2617694.68,5416602.74,,,,1
69531,830876.OC,2013,2014-07-21,南京证券股份有限公司,洛阳高新区,通用设备制造业,,2014,7,黄河软轴,125900142.54,97767368.88,66164289.6,50069683.11,6265687.94,9827965.62,-58387.89,1353365.76,343457.11,1009908.65,-4715532.09,61587425.21,11811726.06,1.0807,1579038.78,146186.37,-9292653.9,232350.88,-2996.38,,,,1
69532,830877.OC,2013,2014-07-21,方正证券股份有限公司,非高新产业区,文教、工美、体育和娱乐用品制造业,,2014,7,康莱体育,68408051.58,12969893.7,52480507.62,39867084.24,2544306.62,5354992.94,1937120.06,1500264.21,30866.75,1469397.46,15220770.08,12737368.82,16272759.3,2.2389,1475493.71,,-1775242.61,11129803.63,-893673.28,,,,1
69533,830878.OC,2013,2014-07-16,长江证券股份有限公司,非高新产业区,专业技术服务业,,2014,7,智信股份,18044430.06,7872069.75,16093177.24,10099106.88,874133.79,2477207.59,28942.49,1416136.39,-6902.96,1423000,-3093838.81,11814915.83,1669484.92,12.2287,202084.36,52822.79,-301524.85,-5543471.27,1011070.42,,,,1
69534,830879.OC,2013,2014-07-23,东方花旗证券有限公司,中关村科技园区,仪器仪表制造业,,2014,7,基康仪器,246379461.83,168278133.19,184104457.12,89652676.73,16580474.82,37885064.03,-306021.82,30783771.19,745046.91,30038724.28,-10190657.89,93243734.85,14198142.83,13.6119,2394173.54,81955.68,1309317.61,-29916458.49,-16538021.4,,,,1
69535,830880.OC,2013,2014-07-18,广发证券股份有限公司,非高新产业区,电气机械和器材制造业,,2014,7,火凤凰,49612254.13,9100308.44,60896623.51,48812265.36,2285192.05,4660854.74,2313672.44,1874103.25,520079.74,1354023.51,8541791.11,19077022.41,13361678.3,3.9835,1882336.33,68180.04,-256762.42,-140634.48,2843304.91,,,,1
69537,830882.OC,2013,2014-07-24,首创证券有限责任公司,非高新产业区,通用设备制造业,,2014,7,佳龙股份,125384755.34,60903018.64,97168131.55,72475554.62,3132077.12,14479149.01,1433084.35,3848192.49,104644.96,3743500,6651718.37,34595473.09,24328769.3,2.79,3019525.78,,1012663.18,2431916.17,-4825381.95,,,,1
69538,830883.OC,2013,2014-07-28,上海证券有限责任公司,非高新产业区,橡胶和塑料制品业,,2014,7,联桥新材,37044937.67,14607324.87,69142317.69,58746769.67,2584948.37,4046366.68,960048.95,1840587.53,248009,1592578.53,4124723.37,14575887.42,3588335.27,4.8787,573328.32,69363.39,318099.08,2238536.25,-2849927.7,,,,1
69539,830884.OC,2013,2014-07-22,中泰证券股份有限公司,中关村科技园区,专用设备制造业,,2014,7,华盛供水,12546575.97,8068255.61,12575863.06,8073149.51,1023778.81,2536442.24,113057.29,585020.81,-3585.02,588605.83,-383124.69,2459607.46,657301.56,3.1175,124307.67,74752.24,-2765694.06,-654762.45,2097173.4,,,,1
69540,830885.OC,2013,2014-07-25,平安证券有限责任公司,非高新产业区,橡胶和塑料制品业,,2014,7,波斯科技,197245117.47,130467827.49,213342096.36,124842343.52,11453445.58,20173268.98,2043342.09,45765987.09,129900,45636100,16215001.22,42140570.18,18021459.3,26.0696,1943500,,-6859200,-18408500,-8182100,,,,1
69541,830886.OC,2013,2014-07-23,中泰证券股份有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2014,7,太尔科技,95615275.02,38810913.81,67410791.3,55619112.67,1016435.78,4664371.99,1607837.91,5197644.26,639151.62,4558492.64,32370387.23,11396850.42,2901094.38,7.0056,641153.78,258503.89,-9405699.41,19786276.95,15347772.53,,,,1
69542,830887.OC,2013,2014-07-28,招商证券股份有限公司,非高新产业区,互联网和相关服务,,2014,7,吉美思,147641634.43,81915102.86,40792659.55,14681232.84,6174356.1,16559200.82,1755845.66,1970025.99,456377.83,1513648.16,7249301.54,29425440.35,30749834.15,1.4045,747049.85,,768866.22,-5245772.25,6283880.24,,,,1
69543,830888.OC,2013,2014-07-30,中原证券股份有限公司,中关村科技园区,广播、电视、电影和影视录音制作业,,2014,7,世纪工场,6672317.64,5144361.62,15808622.69,8194469.01,1602246.82,2713829.01,-578.02,2516955.53,0,2516955.53,457934.29,47500,553985.57,33.6428,233813.85,,-466219.91,2945068.23,-4721941.09,,,,1
69544,830889.OC,2013,2014-08-05,西部证券股份有限公司,长沙高新区,软件和信息技术服务业,,2014,8,深拓智能,74436151.89,35798208.26,90999914.48,73773303.24,862236.67,10155320.57,1545805.55,4307708.93,778791.48,3528917.45,4373958.5,14470445.5,1292693.99,6.4214,408367.55,,-481587.39,-4040689.94,2283034.77,,,,1
69545,830890.OC,2013,2014-07-31,兴业证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,7,海魄科技,6743419.22,5541119.5,8956309.28,5748497.88,620647.54,1484860.76,40521.93,999771.1,-24102.65,1023873.75,213296.41,215962.5,205642.91,16.5159,204507.93,,-1154954.8,1636836.04,-1523391.75,,,,1
69546,830891.OC,2013,2014-07-30,广州证券股份有限公司,非高新产业区,软件和信息技术服务业,,2014,7,轩辕网络,83939844.26,29353950.09,105706484.69,88563869.4,4531104.99,8807891.75,714226,2406159.31,454246.41,1951912.9,-5889360.16,11645391.61,1346735.73,3.3875,279015.25,332818.62,-16412583.01,-9913862.6,15579390.94,,,,1
69547,830892.OC,2013,2014-08-08,日信证券有限责任公司,厦门火炬高新区,软件和信息技术服务业,,2014,8,海迈科技,45308465.03,29669752.75,37342961.2,6962079.35,8526155.55,18212278,152522.28,4114984.03,2016633.38,2098350.65,4305005.95,5518991.99,11386796.66,11.7198,1234369.78,18528.24,1349747.59,-3127609.78,149336.29,,,,1
69548,830893.OC,2013,2014-07-29,方正证券股份有限公司,非高新产业区,商务服务业,,2014,7,亚泽股份,21905817.23,20619214.32,36096553.23,30122748.34,2385404.53,2930224.24,148.28,411149.93,19743.02,391406.91,-5154954.38,9200696.5,263213.12,2.7111,113831.38,,1332632.42,-5027639.01,-2030849.22,,,,1
69549,830894.OC,2013,2014-08-01,招商证券股份有限公司,非高新产业区,租赁业,,2014,8,紫竹桩基,117377074.42,104332099.33,35469281.81,20043487.47,2632643.81,3329074.73,-18120.29,6427446.15,0,6427446.15,-73921873.21,4017735.04,2265315.61,9.1452,122201.85,9856.8,-74283529.91,2499739.14,-8859431.64,,,,1
69550,830895.OC,2013,2014-07-25,国金证券股份有限公司,非高新产业区,通用设备制造业,,2014,7,玉成精机,38378572.77,17413498.21,29180680.83,18054350.12,1097475.68,7406217.04,615078.22,1678742.98,240501.69,1438241.29,-1407203.81,9697645.49,14185032.41,3.9857,2262189.67,,1292559.71,1058763.37,-8361158.68,,,,1
69551,830896.OC,2013,2014-08-01,申万宏源证券有限公司,非高新产业区,通用设备制造业,,2014,8,旺成科技,252309296.01,142563073.03,250179428.92,177247622.09,7569386.15,24529508.18,4043467.26,29761799.87,329756.18,29432043.69,50158321.69,39848149.18,85661008.11,12.6452,13486358.21,,5441129.05,-3785040.68,2058364.49,,,,1
