证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430734.OC,2013,2014-05-07,中泰证券股份有限公司,大连高新区,软件和信息技术服务业,,2014,5,ST源渤,9160291.42,5377853.1,23150499.06,12914279.47,,9891594.64,281.22,671885.18,675000,-3114.82,-2247707.46,6644437.38,627360.06,10.3874,40931,,,-797773.41,-2287904.25,2014-05-08,2013-12-31,挂牌前,0
430735.OC,2013,2014-07-11,申万宏源证券有限公司,非高新产业区,计算机、通信和其他电子设备制造业,,2014,7,智达康,218387146.19,126827400.62,154046185.69,118970375.72,23615299.48,45238303.43,2574933.47,-28873863.61,1960408.02,-30834271.63,-3087988.88,26791160.6,46173094.21,-9.5505,7232923.54,1684036.1,23551187.2,81666010.85,-91021795.25,2014-07-11,2013-12-31,挂牌前,0
430736.OC,2013,2014-05-05,华龙证券股份有限公司,非高新产业区,农业,,2014,5,中江种业,404193304.15,115709902.78,251662890.67,202334374.23,15048229.01,31029731.08,6777948.99,4084866.96,9448898.6,-5364031.63,22753343.11,38471379.29,48411181.3,1.1633,5631207.42,442947.64,-84765424.81,39803258.35,49659358.74,2014-05-08,2013-12-31,挂牌前,0
430741.OC,2013,2014-05-05,申万宏源证券有限公司,重庆高新区,土木工程建筑业,,2014,5,格林绿化,83092489.84,28680677.9,60183383.54,46009851.62,141504.01,6886171.8,2569604.68,346716.37,-1224363.63,1571080,-14283875.69,15843638.91,8663809.75,0.4297,857437.82,208855.36,-7816935.78,-4698860.74,-5096368.72,2014-05-09,2013-12-31,挂牌前,0
430743.OC,2013,2014-05-06,广州证券股份有限公司,非高新产业区,商务服务业,,2014,5,尚思传媒,11334804.22,6663596.23,23509920.68,19325878.17,,3601446.79,-2778.62,264192.41,3583.43,260608.98,-834453.12,4224774.4,465644.46,3.3965,127686.29,126666.72,,-3489688.99,2018164.03,2014-05-30,2013-12-31,挂牌前,0
430744.OC,2013,2014-05-05,中泰证券股份有限公司,广州高新区,软件和信息技术服务业,,2014,5,全岛互联,7785854.9,7507372.44,6196203.25,542312.43,992610.87,2635919.43,-1260.44,1949695.22,-19.22,1949714.44,417519.26,2747103.54,166047.16,34.2401,20336.47,,,-560160.75,-1066364.74,2014-05-05,2013-12-31,挂牌前,0
430745.OC,2013,2014-05-05,长江证券股份有限公司,西安高新区,仪器仪表制造业,,2014,5,诺文科技,21355701.53,10507510.88,15531017.23,11635048.96,644251.29,2023299.8,324110.97,898462.75,314393.91,584068.84,-4314918.54,10468465.51,2383833.6,4.5522,285916.38,14957.26,-1166851.36,-4290251.6,-518821.72,2014-05-26,2013-12-31,挂牌前,0
430746.OC,2013,2014-05-05,申万宏源证券有限公司,非高新产业区,房屋建筑业,,2014,5,七星科技,763260350.15,155566513.43,858848444.44,766917234.36,,25959254.66,3379332.5,21906518.63,-83738.86,21990256.99,-16430503.04,374245379.04,77721126.78,3.4928,13446121.95,136555.92,-6544626.77,-174763149.49,112092911.99,2014-06-05,2013-12-31,挂牌前,0
430747.OC,2013,2014-05-05,申万宏源证券有限公司,非高新产业区,专用设备制造业,,2014,5,长江机电,21444237.59,14679647.43,15042463.35,11748546.35,1023978.9,1666046.4,30501.68,316891.66,,,-432959.91,8803923.09,5433214.2,1.3124,186511.63,,802559.08,-664876.92,-1156391.88,2014-05-20,2013-12-31,挂牌前,0
430749.OC,2013,2014-05-06,万联证券有限责任公司,衡阳高新区,金属制品业,,2014,5,金化高容,76603684.93,35174204.58,85477626.41,66487925.37,8156176.59,4223013.43,1684212.3,5108262.6,117138.08,4991124.52,12064417.66,21877002.84,15635163.66,7.0862,1738063.55,107901.56,-2804671.87,-416818.57,7010134.31,2014-05-15,2013-12-31,挂牌前,0
