证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430001.OC,2003,2006-01-18,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,软件与服务,2010-12-06,2006,1,世纪瑞尔(退市),103696365.04,70601541.88,40241400.69,13569387.93,7714944.32,9770923.24,235899.47,10645043.99,,,10843347.75,27121681.98,29395524.57,,943428.0,610643.0,-2692313.1,-13831571.1,13440729.88,,,挂牌前,-2
430002.OC,2003,2006-01-23,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2006,1,中科软,183907217.86,89562635.5,149058223.94,114112123.01,6892272.09,24343639.09,-180356.33,6765988.09,726100.0,6039888.09,,19541521.43,6683984.09,,,,,,,,,挂牌前,-2
430003.OC,2003,2006-03-31,国泰君安证券股份有限公司,中关村科技园区,通用设备制造业,,2006,3,北京时代,113399109.26,37775443.35,91852900.61,64563084.34,9269561.32,10623912.74,1230611.04,5548693.21,,,,8586266.12,51466641.87,,,,,,,,,挂牌前,-2
430004.OC,2004,2006-06-07,广发证券股份有限公司,中关村科技园区,专用设备制造业,,2006,6,绿创环保,135148519.25,108858744.1,31480012.49,24665838.41,2100876.24,3954550.52,201688.26,260783.16,-140500.0,401283.16,,36649567.09,33669814.71,,,,,,,,,挂牌前,-2
430005.OC,2004,2006-07-28,广发证券股份有限公司,中关村科技园区,医药制造业,,2006,7,原子高科,158974597.63,53419825.01,145335848.16,92703078.64,14134031.52,16874807.57,-64184.14,13718717.38,,,,46808968.41,47239250.59,,,,,,,,,挂牌前,-2
430006.OC,2004,2006-08-23,广发证券股份有限公,中关村科技园区非上市股份有限公司,制药、生物科技与生命科学,2009-09-30,2006,8,北陆药业(退市),115867455.92,54800103.75,49137954.23,16609101.57,14086969.24,7528203.2,1063124.17,3516419.69,-576820.55,4093240.24,,23162140.76,48213703.37,,,,,,,,,挂牌前,-2
430007.OC,2004,2006-09-06,申银万国证券股份有限公司,中关村科技园区非上市股份有限公司,软件与服务,2009-07-29,2006,9,久其软件(退市),85295395.3,68188870.57,42593970.96,12122960.72,1432576.29,21492645.46,-65486.01,10672837.97,279600.0,10393237.97,,12869038.7,20327693.28,,,,,,,,,挂牌前,-2
430008.OC,2004,2006-08-25,国信证券有限责任公,中关村科技园区非上市股份有限公司,软件与服务,2011-09-28,2006,8,紫光华宇(退市),83209746.71,42005153.51,80577048.83,55463866.17,3529102.81,14748248.96,-431653.24,6561457.95,0.0,6561457.95,,5589196.6,3214484.39,,,,,,,,,挂牌前,-2
430009.OC,2004,2006-11-28,广发证券股份有限公司,中关村科技园区,计算机、通信和其他电子设备制造业,,2006,11,华环电子,106358378.1,65355472.21,44379262.57,23435389.76,6118046.84,10739511.89,988789.78,2296959.34,38869.6,2258089.74,,21126611.58,33495038.01,,,,,,,,,挂牌前,-2
430010.OC,2004,2006-12-08,申万宏源证券有限公司,中关村科技园区,专用设备制造业,,2006,12,现代农装,242433578.4,112603280.4,292272661.43,228382265.1,20410835.13,19829973.57,1381177.84,20633689.99,2180600.0,18453089.99,,25966023.74,79027318.14,,,,,,,,,挂牌前,-2
430011.OC,2004,2007-01-23,中信证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2007,1,指南针,54095005.77,36148269.56,14431478.13,4501889.59,3345544.43,6619344.09,-115427.74,169966.94,1421700.0,-1251733.06,,39143.0,18293800.53,,,,,,,,,挂牌前,-2
