主办券商,主营产品,可交易股份总量(万股),总市值(万元),所属Wind行业,所属园区,所属证监会行业,挂牌日期,摘牌日期,最新成交价(元),最新成交日,终止上市原因,股份总量(万股),证券代码,证券简称,转让方式
兴业证券股份有限公司,铝合金及制品,1404.875,,材料Ⅱ,非高新产业区,金属制品业,2016-04-15,,,,,2775.5,835907.OC,海德曼,协议转让
国联证券股份有限公司,合成纤维,,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-15,,,,,2000.0,836032.OC,建亚环保,协议转让
东吴证券股份有限公司,医疗器械用制剂,,,医疗保健设备与服务,非高新产业区,卫生,2016-04-15,,,,,1000.0,836219.OC,鼎晶生物,协议转让
中泰证券股份有限公司,半金属,4009.25,,材料Ⅱ,非高新产业区,废弃资源综合利用业,2016-04-15,,,,,7328.0,836222.OC,顺泰钨业,协议转让
兴业证券股份有限公司,半导体材料、磁性材料,25.0,,材料Ⅱ,厦门火炬高新区,化学原料和化学制品制造业,2016-04-15,,,,,575.0,836404.OC,豪尔新材,协议转让
兴业证券股份有限公司,中药饮片,,,制药、生物科技与生命科学,非高新产业区,医药制造业,2016-04-15,,,,,5550.0,836433.OC,大唐药业,协议转让
国金证券股份有限公司,医疗美容器械,,,医疗保健设备与服务,非高新产业区,专用设备制造业,2016-04-15,,,,,5000.0,836516.OC,冰科医疗,协议转让
首创证券有限责任公司,广告代理,216.754,,软件与服务,非高新产业区,互联网和相关服务,2016-04-15,,,,,1229.98,836610.OC,铠甲网络,协议转让
新时代证券股份有限公司,种子,400.0,,食品、饮料与烟草,非高新产业区,农业,2016-04-15,,,,,10457.0,836645.OC,三瑞农科,协议转让
安信证券股份有限公司,高分子聚合物、专业咨询服务,,,资本货物,非高新产业区,专用设备制造业,2016-04-15,,,,,2000.0,836674.OC,净源科技,协议转让
国金证券股份有限公司,钢管类、建筑钢结构,,,商业和专业服务,非高新产业区,租赁业,2016-04-15,,,,,5080.0,836684.OC,扬德股份,协议转让
长城证券股份有限公司,工艺品,,,商业和专业服务,非高新产业区,专业技术服务业,2016-04-15,,,,,1000.0,836727.OC,广美雕塑,协议转让
华福证券有限责任公司,装饰材料,286.225,,耐用消费品与服装,非高新产业区,其他制造业,2016-04-15,,,,,2000.0,836737.OC,米科股份,协议转让
光大证券股份有限公司,行业专用软件,128.0,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-15,,,,,800.0,836746.OC,优通科技,协议转让
招商证券股份有限公司,照明用品,,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-15,,,,,1000.0,836751.OC,科谷电源,协议转让
华福证券有限责任公司,原料药,,,制药、生物科技与生命科学,非高新产业区,化学原料和化学制品制造业,2016-04-15,,,,,2500.0,836760.OC,津力生物,协议转让
恒泰证券股份有限公司,半导体太阳能光伏、系统集成服务,,,公用事业Ⅱ,非高新产业区,电气机械和器材制造业,2016-04-15,,,,,1000.0,836772.OC,富源智慧,协议转让
国联证券股份有限公司,动力机械,,,资本货物,非高新产业区,通用设备制造业,2016-04-15,,,,,1150.0,836784.OC,方德股份,协议转让
中山证券有限责任公司,电子设备及加工、行业专用软件,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-15,,,,,5000.0,836792.OC,易家科技,协议转让
西南证券股份有限公司,衣着用纺织品、专业咨询服务,,,耐用消费品与服装,非高新产业区,纺织业,2016-04-14,,,,,5000.0,835725.OC,莱美科技,协议转让
申万宏源证券有限公司,医用耗材,,,医疗保健设备与服务,中关村科技园区,专用设备制造业,2016-04-14,,,,,6000.0,835879.OC,派尔特,协议转让
中信建投证券股份有限公司,专业咨询服务,,,商业和专业服务,非高新产业区,商务服务业,2016-04-14,,,,,6000.0,836146.OC,联明保安,协议转让
新时代证券股份有限公司,原料药,1386.25,,制药、生物科技与生命科学,非高新产业区,医药制造业,2016-04-14,,,,,4000.0,836185.OC,利伟生物,协议转让
兴业证券股份有限公司,行业专用软件、监控器材及系统,722.6666,,技术硬件与设备,非高新产业区,仪器仪表制造业,2016-04-14,,,,,2700.0,836189.OC,新诺航科,协议转让
东吴证券股份有限公司,装饰材料,,,材料Ⅱ,非高新产业区,有色金属冶炼和压延加工业,2016-04-14,,,,,6000.0,836235.OC,银奕达,协议转让
兴业证券股份有限公司,运营平台系统,,,电信服务Ⅱ,非高新产业区,互联网和相关服务,2016-04-14,,,,,3800.0,836319.OC,通网技术,协议转让
华创证券有限责任公司,影视制作发行,10374.7572,,消费者服务Ⅱ,非高新产业区,文化艺术业,2016-04-14,,,,,17200.0,836358.OC,和韵文化,协议转让
渤海证券股份有限公司,系统集成服务、专用设备与零部件,26.0,,资本货物,非高新产业区,通用设备制造业,2016-04-14,,,,,626.0,836378.OC,创盛智能,协议转让
东吴证券股份有限公司,专用设备与零部件,,,资本货物,非高新产业区,通用设备制造业,2016-04-14,,,,,500.0,836384.OC,瑞真精机,协议转让
中信建投证券股份有限公司,互联网服务,,,商业和专业服务,非高新产业区,商务服务业,2016-04-14,,,,,800.0,836416.OC,时空视点,协议转让
金元证券股份有限公司,专业咨询服务,533.1579,,商业和专业服务,非高新产业区,商务服务业,2016-04-14,,,,,1263.1579,836418.OC,浙商企业,协议转让
兴业证券股份有限公司,空调器具,,,资本货物,非高新产业区,建筑安装业,2016-04-14,,,,,4300.0,836428.OC,诺佛尔,协议转让
光大证券股份有限公司,煤制品,,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-14,,,,,1780.0,836440.OC,浦士达,协议转让
东莞证券股份有限公司,化学矿、无机化学农药,,,商业和专业服务,非高新产业区,废弃资源综合利用业,2016-04-14,,,,,500.0,836444.OC,中宇环保,协议转让
太平洋证券股份有限公司,环保机械,,,耐用消费品与服装,非高新产业区,通用设备制造业,2016-04-14,,,,,300.0,836457.OC,源知环境,协议转让
申万宏源证券有限公司,影视制作发行,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-14,,,,,2500.0,836488.OC,影谱科技,协议转让
安信证券股份有限公司,蔬菜类、水果类,,,食品、饮料与烟草,非高新产业区,农业,2016-04-14,,,,,1500.0,836492.OC,种源农业,协议转让
国信证券股份有限公司,服务器与工作站、专用设备与零部件,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-14,,,,,1362.3978,836506.OC,协能科技,协议转让
安信证券股份有限公司,胶粘剂、清洁用品,600.0,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-14,,,,,2600.0,836541.OC,飞世尔,协议转让
长江证券股份有限公司,系统集成服务,,,商业和专业服务,西安高新区,仪器仪表制造业,2016-04-14,,,,,3600.0,836552.OC,博深科技,协议转让
安信证券股份有限公司,广告代理、网络游戏,,,软件与服务,非高新产业区,互联网和相关服务,2016-04-14,,,,,3000.0,836555.OC,威锋科技,协议转让
华融证券股份有限公司,兽药,,,制药、生物科技与生命科学,非高新产业区,医药制造业,2016-04-14,,,,,10000.0,836574.OC,同仁药业,协议转让
中原证券股份有限公司,工业建筑,,,商业和专业服务,非高新产业区,土木工程建筑业,2016-04-14,,,,,5000.0,836585.OC,中天园林,协议转让
首创证券有限责任公司,建筑型材,9000.0,,材料Ⅱ,非高新产业区,非金属矿物制品业,2016-04-14,,,,,15000.0,836596.OC,鲁新新材,协议转让
东北证券股份有限公司,涂料与油漆,1771.65,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-14,,,,,4080.0,836612.OC,瑞博龙,协议转让
德邦证券股份有限公司,教育培训服务,,,消费者服务Ⅱ,非高新产业区,教育,2016-04-14,,,,,6110.0,836622.OC,中锐教育,协议转让
国海证券股份有限公司,教育培训服务,,,消费者服务Ⅱ,非高新产业区,软件和信息技术服务业,2016-04-14,,,,,2100.0,836672.OC,鑫日科,协议转让
国金证券股份有限公司,系统集成服务,64.0,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-14,,,,,4164.0,836689.OC,皓华网络,协议转让
华安证券股份有限公司,专用设备与零部件,,,材料Ⅱ,非高新产业区,橡胶和塑料制品业,2016-04-14,,,,,4817.65,836700.OC,华谊控股,协议转让
国元证券股份有限公司,智能商用设备,2232.522,,软件与服务,合肥高新区,软件和信息技术服务业,2016-04-14,,,,,4050.0,836725.OC,三联交通,协议转让
国泰君安证券股份有限公司,行业专用软件、互联网服务,64.1666,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-14,,,,,1464.1666,836731.OC,盛邦安全,协议转让
湘财证券股份有限公司,系统集成服务,,,商业和专业服务,中关村科技园区,专业技术服务业,2016-04-14,,,,,600.0,836735.OC,灏域科技,协议转让
太平洋证券股份有限公司,中药饮片,,,制药、生物科技与生命科学,非高新产业区,研究和试验发展,2016-04-14,,,,,1243.0,836747.OC,悦康科创,协议转让
光大证券股份有限公司,专用设备与零部件,,,汽车与汽车零部件,非高新产业区,汽车制造业,2016-04-14,,,,,4404.32,836748.OC,光裕股份,协议转让
华创证券有限责任公司,塑料包装制品,,,能源Ⅱ,非高新产业区,批发业,2016-04-14,,,,,2100.0,836771.OC,三上新材,协议转让
广发证券股份有限公司,专用设备与零部件,,,技术硬件与设备,非高新产业区,电气机械和器材制造业,2016-04-14,,,,,2600.0,836773.OC,超力电机,协议转让
财通证券股份有限公司,半导体材料,2.5,,材料Ⅱ,非高新产业区,废弃资源综合利用业,2016-04-14,,,,,1610.0,836780.OC,新之环保,协议转让
东北证券股份有限公司,显示设备,,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-14,,,,,2168.0,836785.OC,晶彩光电,协议转让
浙商证券股份有限公司,专用设备与零部件,,,汽车与汽车零部件,非高新产业区,汽车制造业,2016-04-14,,,,,6000.0,836790.OC,禾呈科技,协议转让
恒泰证券股份有限公司,系统集成服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-14,,,,,2000.0,836870.OC,山维科技,协议转让
申万宏源证券有限公司,美体产品,,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-13,,,,,7000.0,836181.OC,银丰股份,协议转让
兴业证券股份有限公司,岩石类非金属矿产,,,半导体与半导体生产设备,非高新产业区,非金属矿物制品业,2016-04-13,,,,,500.0,836410.OC,凯纳股份,协议转让
天风证券股份有限公司,专业咨询服务、专用设备与零部件,,,半导体与半导体生产设备,非高新产业区,专用设备制造业,2016-04-13,,,,,913.0,836414.OC,欧普泰,协议转让
国元证券股份有限公司,广告代理、专业咨询服务,,,消费者服务Ⅱ,非高新产业区,互联网和相关服务,2016-04-13,,,,,1000.0,836425.OC,厚学网,协议转让
新时代证券股份有限公司,玩具,,,耐用消费品与服装,非高新产业区,文教、工美、体育和娱乐用品制造业,2016-04-13,,,,,3500.0,836515.OC,彩珀科教,协议转让
广州证券股份有限公司,IT产品销售、网络游戏、运营平台系统,,,资本货物,非高新产业区,批发业,2016-04-13,,,,,1778.35,836535.OC,网弦信息,协议转让
国信证券股份有限公司,传输设备、系统集成服务,,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-13,,,,,3003.0,836599.OC,思科泰,协议转让
浙商证券股份有限公司,铝加工材,,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-13,,,,,2129.45,836668.OC,奥星电子,协议转让
万联证券有限责任公司,专用设备与零部件,,,材料Ⅱ,非高新产业区,金属制品业,2016-04-13,,,,,2000.0,836710.OC,中讯邮电,协议转让
华创证券有限责任公司,电子设备及加工,,,资本货物,非高新产业区,金属制品业,2016-04-13,,,,,4400.0,836714.OC,宏伟泰,协议转让
安信证券股份有限公司,专业咨询服务、专用设备与零部件,,,资本货物,非高新产业区,专业技术服务业,2016-04-13,,,,,1500.0,836715.OC,优力可,协议转让
平安证券有限责任公司,半导体太阳能光伏、系统集成服务,,,公用事业Ⅱ,安阳高新区,电力、热力生产和供应业,2016-04-13,,,,,5000.0,836728.OC,豫新科技,协议转让
东莞证券股份有限公司,专业咨询服务,,,商业和专业服务,南昌高新区,科技推广和应用服务业,2016-04-13,,,,,3000.0,836733.OC,四联环保,协议转让
长江证券股份有限公司,互联网服务、专业咨询服务,,,软件与服务,深圳高新区,软件和信息技术服务业,2016-04-13,,,,,1200.0,836754.OC,集时股份,协议转让
西南证券股份有限公司,专业咨询服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-13,,,,,500.0,836755.OC,亭联科技,协议转让
招商证券股份有限公司,专业咨询服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-13,,,,,1880.0,836756.OC,中达金桥,协议转让
国泰君安证券股份有限公司,专业咨询服务,,,软件与服务,非高新产业区,互联网和相关服务,2016-04-13,,,,,500.0,836761.OC,九博科技,协议转让
华创证券有限责任公司,低压电器类,,,资本货物,非高新产业区,电气机械和器材制造业,2016-04-13,,,,,1000.0,836791.OC,英特莱,协议转让
中泰证券股份有限公司,专业咨询服务,,,资本货物,非高新产业区,建筑装饰和其他建筑业,2016-04-13,,,,,7800.0,837016.OC,文业装饰,协议转让
中国民族证券有限责任公司,生物肥,62.91,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-12,,,,,2247.66,835809.OC,金和福,协议转让
海通证券股份有限公司,网络游戏,,,软件与服务,非高新产业区,互联网和相关服务,2016-04-12,,,,,1000.0,836002.OC,乐蜀网络,协议转让
华泰证券股份有限公司,其他化学品,,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-12,,,,,5005.0,836180.OC,华青股份,协议转让
中信证券股份有限公司,服装配件配饰、洗漱用品、鞋子、装饰用纺织品,363.2961,,零售业,非高新产业区,批发业,2016-04-12,,,,,813.7693,836281.OC,鸿盛华,协议转让
浙商证券股份有限公司,服装零售店、专业咨询服务,295.5312,,零售业,非高新产业区,零售业,2016-04-12,,,,,1155.0,836326.OC,风雪户外,协议转让
安信证券股份有限公司,厨房器具、其他农产品,,,零售业,厦门火炬高新区,互联网和相关服务,2016-04-12,,,,,1200.0,836369.OC,茶人岭,协议转让
中泰证券股份有限公司,其他化学品,,,制药、生物科技与生命科学,非高新产业区,化学原料和化学制品制造业,2016-04-12,,,,,2600.0,836437.OC,瑞诚科技,协议转让
太平洋证券股份有限公司,通信终端设备、专业咨询服务,,,电信服务Ⅱ,中关村科技园区,电信、广播电视和卫星传输服务,2016-04-12,,,,,1500.0,836525.OC,网信通,协议转让
东莞证券股份有限公司,锅炉及附属设备,,,资本货物,非高新产业区,通用设备制造业,2016-04-12,,,,,1600.0,836564.OC,华海节能,协议转让
西部证券股份有限公司,电子元器件、机床机械,,,资本货物,非高新产业区,通用设备制造业,2016-04-12,,,,,1650.0,836647.OC,一派数控,协议转让
招商证券股份有限公司,广告代理,,,媒体Ⅱ,非高新产业区,商务服务业,2016-04-12,,,,,2009.0,836648.OC,东帝士,协议转让
中原证券股份有限公司,其他化学品,,,能源Ⅱ,非高新产业区,石油加工、炼焦和核燃料加工业,2016-04-12,,,,,10000.0,836676.OC,佳化股份,协议转让
光大证券股份有限公司,塑料包装制品,,,材料Ⅱ,非高新产业区,非金属矿物制品业,2016-04-12,,,,,2000.0,836683.OC,四达新材,协议转让
上海证券有限责任公司,公路运输,,,运输,非高新产业区,道路运输业,2016-04-12,,,,,2080.0,836690.OC,悦泰物流,协议转让
江海证券有限公司,行业专用软件、专业咨询服务、专用设备与零部件,,,资本货物,中关村科技园区,通用设备制造业,2016-04-12,,,,,500.0,836693.OC,科路股份,协议转让
财通证券股份有限公司,互联网服务、专业咨询服务、专用设备与零部件,,,零售业,非高新产业区,零售业,2016-04-12,,,,,5000.0,836694.OC,家电网,协议转让
国联证券股份有限公司,公路建设、游乐园、专业咨询服务、专用设备与零部件,,,资本货物,非高新产业区,建筑装饰和其他建筑业,2016-04-12,,,,,500.0,836696.OC,旗华建设,协议转让
中信建投证券股份有限公司,半导体材料、超硬材料,,,材料Ⅱ,非高新产业区,非金属矿物制品业,2016-04-12,,,,,3000.0,836698.OC,聚能炭,协议转让
长江证券股份有限公司,系统集成服务,218.85,9723.6,软件与服务,郑州高新区,软件和信息技术服务业,2016-04-12,,4.38,2016-04-14 00:00:00,,2220.0,836708.OC,中裕广恒,协议转让
国元证券股份有限公司,专用设备与零部件,,,资本货物,非高新产业区,通用设备制造业,2016-04-12,,,,,5412.0,836716.OC,芬尼科技,协议转让
东兴证券股份有限公司,施工及检测设备、通信线缆,,,资本货物,非高新产业区,电气机械和器材制造业,2016-04-12,,,,,5008.0,836718.OC,永锦电气,协议转让
西部证券股份有限公司,航空零部件、专用设备与零部件,,,资本货物,西安高新区,金属制品业,2016-04-12,,,,,1200.0,836719.OC,万威刀具,协议转让
申万宏源证券有限公司,工业陶瓷,,,材料Ⅱ,非高新产业区,非金属矿物制品业,2016-04-12,,,,,6000.0,836724.OC,欧晶科技,协议转让
国泰君安证券股份有限公司,行业专用软件、互联网服务,,,软件与服务,中关村科技园区,软件和信息技术服务业,2016-04-12,,,,,2000.0,836757.OC,华信科泰,协议转让
广发证券股份有限公司,专用设备与零部件,2728.0,,资本货物,非高新产业区,专业技术服务业,2016-04-12,,,,,6000.0,836777.OC,龙之泉,协议转让
中泰证券股份有限公司,服务器与工作站,,,资本货物,非高新产业区,通用设备制造业,2016-04-12,,,,,2700.0,836786.OC,明鑫智能,协议转让
江海证券有限公司,系统集成服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-12,,,,,1092.0,836954.OC,鼎集智能,协议转让
民生证券股份有限公司,影视制作发行,,,媒体Ⅱ,非高新产业区,文化艺术业,2016-04-11,,,,,500.0,835738.OC,浩林文化,协议转让
国盛证券有限责任公司,医疗美容器械,,,医疗保健设备与服务,南昌高新区,专用设备制造业,2016-04-11,,,,,1600.0,835940.OC,瑞济生物,协议转让
安信证券股份有限公司,通信终端设备,,,商业和专业服务,非高新产业区,租赁业,2016-04-11,,,,,1050.0,836003.OC,中讯天成,协议转让
华龙证券股份有限公司,其他纺织品及原料、专用设备与零部件,,,耐用消费品与服装,非高新产业区,纺织业,2016-04-11,,,,,2300.0,836141.OC,汇锋新材,协议转让
西南证券股份有限公司,行业专用软件、专业咨询服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-11,,,,,500.0,836426.OC,安怀信,协议转让
中信证券股份有限公司,低压电器类、专用设备与零部件,,,资本货物,非高新产业区,通用设备制造业,2016-04-11,,,,,5000.0,836503.OC,寰宇科技,协议转让
华安证券股份有限公司,电气仪器仪表,43.75,,商业和专业服务,非高新产业区,专业技术服务业,2016-04-11,,,,,5753.0,836512.OC,华泰电气,协议转让
国泰君安证券股份有限公司,重型建筑工程机械、专用设备与零部件,,,资本货物,非高新产业区,通用设备制造业,2016-04-11,,,,,5800.0,836517.OC,志高股份,协议转让
东吴证券股份有限公司,苗木、农药中间体、其他物流、食用油,1883.875,,食品、饮料与烟草,非高新产业区,农副食品加工业,2016-04-11,,,,,8883.875,836528.OC,源森油茶,协议转让
光大证券股份有限公司,监控器材及系统、通信系统与平台、专用设备与零部件,,,软件与服务,中关村科技园区,软件和信息技术服务业,2016-04-11,,,,,2800.0,836573.OC,视酷股份,协议转让
英大证券有限责任公司,集装箱航运、其他物流、散货航运,,,运输,非高新产业区,装卸搬运和运输代理业,2016-04-11,,,,,2800.0,836602.OC,中海通,协议转让
安信证券股份有限公司,专业咨询服务、装修工程,,,资本货物,非高新产业区,建筑装饰和其他建筑业,2016-04-11,,,,,1177.0,836604.OC,大象空间,协议转让
安信证券股份有限公司,电子元器件,658.8092,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-11,,,,,3500.0,836633.OC,达瑞电子,协议转让
华安证券股份有限公司,广告代理、行业专用软件、网络游戏,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-11,,,,,1000.0,836666.OC,摩艾客,协议转让
广发证券股份有限公司,防火墙软件、互联网服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-11,,,,,2000.0,836671.OC,网博科技,协议转让
西南证券股份有限公司,连锁餐饮,,,消费者服务Ⅱ,非高新产业区,餐饮业,2016-04-11,,,,,12500.0,836673.OC,丰收日,协议转让
德邦证券股份有限公司,建筑型材,,,材料Ⅱ,非高新产业区,废弃资源综合利用业,2016-04-11,,,,,16000.0,836680.OC,中天新材,协议转让
长城证券股份有限公司,系统集成服务、运营平台系统,,,软件与服务,武汉东湖高新区,软件和信息技术服务业,2016-04-11,,,,,500.0,836685.OC,雕龙数据,协议转让
国元证券股份有限公司,专用设备与零部件,,,资本货物,非高新产业区,建筑装饰和其他建筑业,2016-04-11,,,,,2000.0,836691.OC,人和环境,协议转让
国联证券股份有限公司,建筑型材,,,材料Ⅱ,非高新产业区,金属制品业,2016-04-11,,,,,1000.0,836699.OC,海达尔,协议转让
国联证券股份有限公司,航空零部件、汽车及零配件经销、专用设备与零部件,,,材料Ⅱ,非高新产业区,有色金属冶炼和压延加工业,2016-04-11,,,,,2615.0,836720.OC,吉冈精密,协议转让
安信证券股份有限公司,通信终端设备,101.8333,,软件与服务,中关村科技园区,软件和信息技术服务业,2016-04-11,,,,,777.5,836801.OC,睦合达,协议转让
平安证券有限责任公司,医疗美容器械,,,医疗保健设备与服务,非高新产业区,专用设备制造业,2016-04-08,,,,,8061.0,835637.OC,林华医疗,协议转让
德邦证券股份有限公司,专业咨询服务,60.1765,,医疗保健设备与服务,非高新产业区,卫生,2016-04-08,,,,,1560.1765,836105.OC,艾博健康,协议转让
中泰证券股份有限公司,影视制作发行,,,媒体Ⅱ,非高新产业区,广播、电视、电影和影视录音制作业,2016-04-08,,,,,24659.2592,836201.OC,和力辰光,协议转让
太平洋证券股份有限公司,米面类、禽畜养殖,,,食品、饮料与烟草,非高新产业区,畜牧业,2016-04-08,,,,,15000.0,836330.OC,振兴生态,协议转让
中信证券股份有限公司,影视制作发行,292.3977,,媒体Ⅱ,非高新产业区,广播、电视、电影和影视录音制作业,2016-04-08,,,,,3214.0792,836340.OC,华昕影院,协议转让
江海证券有限公司,低压电器类,,,资本货物,烟台高新区,通用设备制造业,2016-04-08,,,,,2358.0,836394.OC,卓越能源,协议转让
联讯证券股份有限公司,行业专用软件、专业咨询服务,,,软件与服务,中关村科技园区,软件和信息技术服务业,2016-04-08,,,,,1000.0,836442.OC,群智合,协议转让
国都证券股份有限公司,行业专用软件、软件销售、专业咨询服务,,,软件与服务,中关村科技园区,软件和信息技术服务业,2016-04-08,,,,,1000.0,836486.OC,宝利软件,协议转让
招商证券股份有限公司,通信系统与平台,,,软件与服务,深圳高新区,软件和信息技术服务业,2016-04-08,,,,,1000.0,836501.OC,名通科技,协议转让
财达证券有限责任公司,水产品,,,食品、饮料与烟草,非高新产业区,渔业,2016-04-08,,,,,6000.0,836548.OC,玉洋股份,协议转让
财通证券股份有限公司,勘探采油设备及配件、油田服务,,,能源Ⅱ,非高新产业区,开采辅助活动,2016-04-08,,,,,8000.0,836561.OC,能新科,协议转让
西部证券股份有限公司,防火墙软件,,,软件与服务,西安高新区,软件和信息技术服务业,2016-04-08,,,,,1500.0,836595.OC,三茗科技,协议转让
华创证券有限责任公司,教育培训服务,,,软件与服务,深圳高新区,软件和信息技术服务业,2016-04-08,,,,,6000.0,836601.OC,考拉超课,协议转让
国金证券股份有限公司,环保机械,,,公用事业Ⅱ,非高新产业区,专用设备制造业,2016-04-08,,,,,12000.0,836616.OC,兆盛环保,协议转让
太平洋证券股份有限公司,塑胶机械、印刷机械,,,资本货物,中关村科技园区,专用设备制造业,2016-04-08,,,,,1015.0,836623.OC,同志科技,协议转让
安信证券股份有限公司,环卫服务,,,商业和专业服务,非高新产业区,生态保护和环境治理业,2016-04-08,,,,,3200.0,836654.OC,丹海生态,协议转让
五矿证券有限公司,行业专用软件、专业咨询服务,,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-08,,,,,500.0,836682.OC,掌柜软件,协议转让
江海证券有限公司,专业咨询服务,,,商业和专业服务,中关村科技园区,商务服务业,2016-04-08,,,,,3000.0,836704.OC,柏莱特,协议转让
西南证券股份有限公司,行业专用软件、重有色金属,19069.25,,材料Ⅱ,非高新产业区,研究和试验发展,2016-04-08,,,,,22639.0,836713.OC,中天引控,协议转让
国金证券股份有限公司,专业咨询服务,,,商业和专业服务,厦门火炬高新区,专业技术服务业,2016-04-08,,,,,1500.0,836768.OC,中迅德,协议转让
西南证券股份有限公司,智能商用设备,1110.0,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-07,,,,,13810.0,834713.OC,毅能达,协议转让
国泰君安证券股份有限公司,粮食、植物及花卉,,,食品、饮料与烟草,非高新产业区,农、林、牧、渔服务业,2016-04-07,,,,,3000.0,835029.OC,瑞兆源,协议转让
东北证券股份有限公司,民用建筑,10500.0,402325.0,资本货物,非高新产业区,建筑装饰和其他建筑业,2016-04-07,,6.65,2016-04-14 00:00:00,,60500.0,835502.OC,深装总,协议转让
西南证券股份有限公司,低压电器类,,,资本货物,非高新产业区,电气机械和器材制造业,2016-04-07,,,,,10626.4012,836058.OC,欧赛能源,协议转让
安信证券股份有限公司,耐火材料,,,材料Ⅱ,非高新产业区,非金属矿物制品业,2016-04-07,,,,,1500.0,836236.OC,和成新材,协议转让
华福证券有限责任公司,玻璃纤维,,,资本货物,非高新产业区,非金属矿物制品业,2016-04-07,,,,,2722.0,836329.OC,泰瑞新材,协议转让
国泰君安证券股份有限公司,粮食,1380.0,,食品、饮料与烟草,非高新产业区,农业,2016-04-07,,,,,5000.0,836341.OC,科荟种业,协议转让
中泰证券股份有限公司,操作系统软件,622.5012,,软件与服务,非高新产业区,软件和信息技术服务业,2016-04-07,,,,,953.0,836370.OC,感信信息,协议转让
财达证券有限责任公司,电子测试和测量仪器、热力、系统集成服务,,,商业和专业服务,非高新产业区,科技推广和应用服务业,2016-04-07,,,,,6850.0,836391.OC,工大科雅,协议转让
中国民族证券有限责任公司,广告设计,200.0,,媒体Ⅱ,非高新产业区,商务服务业,2016-04-07,,,,,1400.0,836424.OC,美通互动,协议转让
广州证券股份有限公司,专用设备与零部件,,,资本货物,非高新产业区,专用设备制造业,2016-04-07,,,,,800.0,836439.OC,聚能纳米,协议转让
国信证券股份有限公司,生物肥,,,公用事业Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-07,,,,,10000.0,836448.OC,民和生物,协议转让
申万宏源证券有限公司,行业专用软件、运营平台系统,,,电信服务Ⅱ,非高新产业区,电信、广播电视和卫星传输服务,2016-04-07,,,,,1000.0,836449.OC,欣网卓信,协议转让
东北证券股份有限公司,运营平台系统,,,技术硬件与设备,非高新产业区,软件和信息技术服务业,2016-04-07,,,,,926.825,836452.OC,四方博瑞,协议转让
安信证券股份有限公司,显示设备,,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2016-04-07,,,,,1800.0,836489.OC,科润光电,协议转让
西南证券股份有限公司,玻璃,,,材料Ⅱ,非高新产业区,非金属矿物制品业,2016-04-07,,,,,10414.2858,836529.OC,明营科技,协议转让
东北证券股份有限公司,制药机械,128.8667,,资本货物,非高新产业区,专用设备制造业,2016-04-07,,,,,2516.0,836556.OC,威龙科技,协议转让
华创证券有限责任公司,其他工业用铝,1866.6666,,材料Ⅱ,非高新产业区,有色金属冶炼和压延加工业,2016-04-07,,,,,10000.0,836566.OC,三星科技,协议转让
安信证券股份有限公司,广告代理、影视制作发行,,,媒体Ⅱ,非高新产业区,广播、电视、电影和影视录音制作业,2016-04-07,,,,,8000.0,836583.OC,海润影业,协议转让
长城证券股份有限公司,广告代理,,,媒体Ⅱ,非高新产业区,商务服务业,2016-04-07,,,,,1200.0,836611.OC,左岸传媒,协议转让
大通证券股份有限公司,其他化学品,,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2016-04-07,,,,,5500.0,836618.OC,哥俩好,协议转让
