主办券商,主营产品,可交易股份总量(万股),总市值(万元),所属Wind行业,所属园区,所属证监会行业,挂牌日期,摘牌日期,最新成交价(元),最新成交日,终止上市原因,股份总量(万股),证券代码,证券简称,转让方式
国泰君安证券股份有限公司,旅行社、旅客航运,3849.7082,16750.0,运输,非高新产业区,水上运输业,2014-12-09,,2.5,2015-11-11 00:00:00,,6700.0,831408.OC,大美游轮,协议转让
中泰证券股份有限公司,行业专用软件,3496.5333,35968.0,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-09,,6.4,2016-04-07 00:00:00,,5620.0,831413.OC,中创股份,做市转让
兴业证券股份有限公司,生物诊断试剂,2127.3798,41625.0,制药、生物科技与生命科学,厦门火炬高新区,医药制造业,2014-12-09,,12.5,2016-01-19 00:00:00,,3330.0,831425.OC,致善生物,协议转让
中泰证券股份有限公司,磁性材料,2490.0264,29500.8,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2014-12-09,,5.6,2016-01-26 00:00:00,,5268.0,831433.OC,川东磁电,协议转让
安信证券股份有限公司,其他农产品,546.275,3737.5,食品、饮料与烟草,非高新产业区,农业,2014-12-09,,2.3,2016-01-07 00:00:00,,1625.0,831436.OC,白水农夫,协议转让
中泰证券股份有限公司,软件外包服务、系统集成服务,289.9988,123900.0,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-09,,41.3,2016-04-14 00:00:00,,3000.0,831440.OC,沃顿股份,协议转让
中原证券股份有限公司,食品经销,610.0,,食品、饮料与烟草,非高新产业区,农副食品加工业,2014-12-09,,,,,2000.0,831442.OC,枫林食品,协议转让
国泰君安证券股份有限公司,系统集成服务,701.6625,4924.8,资本货物,非高新产业区,建筑安装业,2014-12-09,,3.04,2016-04-13 00:00:00,,1620.0,831446.OC,亨利技术,做市转让
国信证券股份有限公司,医用辅助设备,2001.375,,医疗保健设备与服务,南昌高新区,专用设备制造业,2014-12-09,,,,,3000.0,831448.OC,贝欧特,协议转让
国元证券股份有限公司,专用设备与零部件,527.1,,商业和专业服务,非高新产业区,专用设备制造业,2014-12-09,,,,,2008.0,831457.OC,祥龙钻探,协议转让
国信证券股份有限公司,系统集成服务、专业咨询服务,290.1829,6527.6,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-09,,8.0,2016-03-22 00:00:00,,815.95,831459.OC,伟诚科技,协议转让
长江证券股份有限公司,木材及木材加工,,,材料Ⅱ,非高新产业区,文教、工美、体育和娱乐用品制造业,2014-12-09,,,,,1000.0,831461.OC,百年巧匠,协议转让
招商证券股份有限公司,行业专用软件、系统集成服务,366.6666,,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-09,,,,,1255.0,831467.OC,世窗信息,协议转让
红塔证券股份有限公司,电子元器件,2585.5512,,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2014-12-09,,,,,5000.0,831474.OC,科特新材,协议转让
中泰证券股份有限公司,运营平台系统、专业咨询服务,654.1665,8763.0,电信服务Ⅱ,济南高新区,互联网和相关服务,2014-12-09,,6.35,2016-04-11 00:00:00,,1380.0,831480.OC,福生佳信,做市转让
财达证券有限责任公司,专业咨询服务,413.325,9600.0,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-09,,8.0,2016-01-25 00:00:00,,1200.0,831482.OC,和信基业,协议转让
国金证券股份有限公司,电子设备及加工,2098.5,122199.0,技术硬件与设备,非高新产业区,电气机械和器材制造业,2014-12-09,,37.03,2016-04-14 00:00:00,,3300.0,831486.OC,索尔科技,做市转让
中泰证券股份有限公司,其他农产品,701.8333,21776.5,食品、饮料与烟草,非高新产业区,农业,2014-12-09,,9.7,2015-12-15 00:00:00,,2245.0,831492.OC,安信种苗,做市转让
国信证券股份有限公司,通信系统与平台,2501.6666,30400.0,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2014-12-09,,8.0,2016-02-02 00:00:00,,3800.0,831499.OC,立元通信,协议转让
中泰证券股份有限公司,教育培训服务,1467.0663,,消费者服务Ⅱ,中山火炬高新区,教育,2014-12-09,,,,,2040.8163,831505.OC,朗顿教育,协议转让
方正证券股份有限公司,继电保护及调度自动化,580.2,157061.788,资本货物,非高新产业区,汽车制造业,2014-12-08,,70.12,2016-04-14 00:00:00,,2239.9,831385.OC,大地和,协议转让
西部证券股份有限公司,专用设备与零部件,1418.7672,32010.0097,技术硬件与设备,成都高新区,计算机、通信和其他电子设备制造业,2014-12-08,,4.85,2015-12-17 00:00:00,,6600.002,831400.OC,九信资产,协议转让
安信证券股份有限公司,公共服务,812.5,2500.0,商业和专业服务,中关村科技园区,商务服务业,2014-12-08,,1.0,2016-01-15 00:00:00,,2500.0,831404.OC,宝丽兴源,协议转让
浙商证券股份有限公司,医药电子商务,400.0,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2014-12-08,,,,,2400.0,831416.OC,大成医药,协议转让
民生证券股份有限公司,电气仪器仪表,3965.17,41739.1085,资本货物,非高新产业区,电气机械和器材制造业,2014-12-08,,5.05,2016-03-18 00:00:00,,8265.17,831421.OC,天富电气,做市转让
安信证券股份有限公司,物业出租和管理,,,商业和专业服务,非高新产业区,房地产业,2014-12-08,,,,,1000.0,831423.OC,快易名商,协议转让
中泰证券股份有限公司,纺织机械,326.5625,,资本货物,非高新产业区,通用设备制造业,2014-12-08,,,,,1250.0,831424.OC,薪泽奇,协议转让
国泰君安证券股份有限公司,建筑型材,4756.02,85735.98,资本货物,中关村科技园区,金属制品业,2014-12-08,,10.07,2016-04-14 00:00:00,,8514.0,831430.OC,天易股份,做市转让
国海证券股份有限公司,半导体材料,1632.0,51732.64,技术硬件与设备,非高新产业区,电气机械和器材制造业,2014-12-08,,12.52,2016-04-14 00:00:00,,4132.0,831437.OC,天劲股份,做市转让
浙商证券股份有限公司,半导体材料,375.0,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2014-12-08,,,,,2500.0,831438.OC,生力材料,协议转让
光大证券股份有限公司,苗木,14666.6668,113520.0,材料Ⅱ,非高新产业区,林业,2014-12-08,,4.73,2016-04-14 00:00:00,,24000.0,831439.OC,中喜生态,做市转让
浙商证券股份有限公司,饮料,1090.0,12810.0,食品、饮料与烟草,非高新产业区,酒、饮料和精制茶制造业,2014-12-08,,5.25,2016-04-14 00:00:00,,2440.0,831443.OC,黑美人,做市转让
浙商证券股份有限公司,其他纺织品及原料,2664.3332,,材料Ⅱ,非高新产业区,化学纤维制造业,2014-12-08,,,,,7260.0,831444.OC,汇隆新材,协议转让
兴业证券股份有限公司,影视制作发行,2023.05,5544.0,媒体Ⅱ,非高新产业区,广播、电视、电影和影视录音制作业,2014-12-08,,1.54,2016-04-14 00:00:00,,3600.0,831454.OC,皇品文化,做市转让
中泰证券股份有限公司,有机化工原料,4936.6666,18742.5,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2014-12-08,,1.7,2016-04-11 00:00:00,,11025.0,831458.OC,联科股份,做市转让
安信证券股份有限公司,继电保护及调度自动化,830.615,5702.8,资本货物,非高新产业区,电气机械和器材制造业,2014-12-08,,2.69,2016-02-26 00:00:00,,2120.0,831462.OC,友泰电气,做市转让
中原证券股份有限公司,制冷器具,1984.2144,49786.8,资本货物,非高新产业区,通用设备制造业,2014-12-08,,8.4,2016-04-14 00:00:00,,5927.0,831463.OC,凯雪冷链,做市转让
东北证券股份有限公司,系统集成服务,282.2544,,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-08,,,,,660.06,831470.OC,创通信息,协议转让
中信建投证券股份有限公司,计费结算系统,14116.6664,91123.0,软件与服务,非高新产业区,互联网和相关服务,2014-12-08,,5.86,2016-04-14 00:00:00,,15550.0,831472.OC,复娱文化,做市转让
兴业证券股份有限公司,存贷款业务,13151.0885,206625.0,多元金融,非高新产业区,租赁业,2014-12-05,,4.35,2016-04-01 00:00:00,,47500.0,831379.OC,融信租赁,做市转让
光大证券股份有限公司,其他农产品,,,制药、生物科技与生命科学,非高新产业区,农副食品加工业,2014-12-05,,,,,3600.0,831388.OC,福来喜得,协议转让
恒泰证券股份有限公司,影视制作发行,1250.5815,115125.862785,媒体Ⅱ,非高新产业区,批发业,2014-12-05,,25.53,2015-10-09 00:00:00,,4509.4345,831398.OC,东联教育,协议转让
上海证券有限责任公司,电气仪器仪表,,,资本货物,武汉东湖高新区,仪器仪表制造业,2014-12-05,,,,,1200.0,831414.OC,大洋义天,协议转让
山西证券股份有限公司,专用设备与零部件,683.75,6570.0,商业和专业服务,太原高新区,专业技术服务业,2014-12-05,,4.5,2016-04-13 00:00:00,,1460.0,831418.OC,三合盛,做市转让
浙商证券股份有限公司,涂料与油漆,8254.0,14145.0,资本货物,非高新产业区,专用设备制造业,2014-12-05,,1.15,2016-02-03 00:00:00,,12300.0,831419.OC,鸿铭科技,协议转让
海通证券股份有限公司,专用设备与零部件,648.915,,商业和专业服务,中关村科技园区,其他服务业,2014-12-05,,,,,1818.0,831426.OC,拂尘龙,协议转让
广发证券股份有限公司,电气仪器仪表,1078.525,35708.0,技术硬件与设备,淄博高新区,计算机、通信和其他电子设备制造业,2014-12-05,,11.3,2016-04-14 00:00:00,,3160.0,831427.OC,信通电子,做市转让
申万宏源证券有限公司,行业专用软件,2595.0939,93330.0,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-05,,15.3,2016-04-14 00:00:00,,6100.0,831429.OC,创力股份,做市转让
山西证券股份有限公司,工控机械,6680.2763,22015.715617,资本货物,非高新产业区,通用设备制造业,2014-12-04,,2.59,2016-04-14 00:00:00,,8500.2763,831296.OC,奥拓福,做市转让
金元证券股份有限公司,环卫服务,497.4667,,商业和专业服务,中关村科技园区,专业技术服务业,2014-12-04,,,,,804.8951,831381.OC,中持检测,协议转让
申万宏源证券有限公司,清洗剂,3120.1312,63540.0,材料Ⅱ,大连高新区,化学原料和化学制品制造业,2014-12-04,,10.59,2016-04-12 00:00:00,,6000.0,831391.OC,三达奥克,协议转让
长江证券股份有限公司,专用设备与零部件,283.333,2000.0,资本货物,非高新产业区,专用设备制造业,2014-12-04,,1.0,2016-03-28 00:00:00,,2000.0,831393.OC,中碧环保,协议转让
国泰君安证券股份有限公司,专业咨询服务,1182.57,38256.0,商业和专业服务,非高新产业区,专业技术服务业,2014-12-04,,15.94,2016-04-14 00:00:00,,2400.0,831395.OC,智通建设,做市转让
兴业证券股份有限公司,行业专用软件、运营平台系统,114.7059,,软件与服务,武汉东湖高新区,软件和信息技术服务业,2014-12-04,,,,,764.7059,831412.OC,天际航,协议转让
国泰君安证券股份有限公司,专业咨询服务,3315.4,16384.0,商业和专业服务,非高新产业区,专业技术服务业,2014-12-04,,4.0,2016-03-15 00:00:00,,4096.0,831415.OC,城兴股份,协议转让
中银国际证券有限责任公司,专业咨询服务,2870.5,67574.64,能源Ⅱ,非高新产业区,建筑安装业,2014-12-04,,12.18,2016-04-14 00:00:00,,5548.0,831417.OC,峻岭能源,做市转让
长江证券股份有限公司,电子设备及加工,1072.5247,,技术硬件与设备,非高新产业区,非金属矿物制品业,2014-12-04,,,,,4290.099,831432.OC,优尼科,协议转让
财通证券股份有限公司,医院,2292.9944,31833.71448,医疗保健设备与服务,非高新产业区,卫生,2014-12-03,,6.8,2016-03-11 00:00:00,,4681.4286,831366.OC,国龙医疗,做市转让
中信建投证券股份有限公司,专用设备与零部件,837.5,14400.0,资本货物,非高新产业区,通用设备制造业,2014-12-03,,3.6,2015-07-17 00:00:00,,4000.0,831390.OC,宜都运机,协议转让
华融证券股份有限公司,系统集成服务,2237.9101,63630.0,资本货物,非高新产业区,软件和信息技术服务业,2014-12-03,,12.6,2016-04-14 00:00:00,,5050.0,831396.OC,许继智能,做市转让
招商证券股份有限公司,互联网服务、网站,767.87,,软件与服务,中关村科技园区,互联网和相关服务,2014-12-03,,,,,2000.0,831401.OC,信立方,协议转让
天风证券股份有限公司,互联网服务,2376.75,64057.005,软件与服务,非高新产业区,软件和信息技术服务业,2014-12-03,,14.57,2016-04-14 00:00:00,,4396.5,831405.OC,赞普科技,做市转让
中航证券有限公司,电气仪器仪表,1725.0,22800.0,资本货物,非高新产业区,电气机械和器材制造业,2014-12-03,,3.8,2016-04-14 00:00:00,,6000.0,831406.OC,森达电气,做市转让
东北证券股份有限公司,行业专用软件,2722.6065,24960.832,能源Ⅱ,中关村科技园区,开采辅助活动,2014-12-03,,4.16,2016-04-14 00:00:00,,6000.2,831409.OC,华油科技,做市转让
东吴证券股份有限公司,电气仪器仪表,375.2,2240.0,材料Ⅱ,非高新产业区,仪器仪表制造业,2014-12-03,,3.2,2016-02-05 00:00:00,,700.0,831410.OC,天和科技,协议转让
广发证券股份有限公司,专用设备与零部件,167.0,,技术硬件与设备,非高新产业区,非金属矿物制品业,2014-12-03,,,,,1325.8,831422.OC,奥根科技,协议转让
东北证券股份有限公司,电子设备及加工,1157.2625,54352.683,技术硬件与设备,非高新产业区,计算机、通信和其他电子设备制造业,2014-12-03,,19.26,2016-04-14 00:00:00,,2822.05,831431.OC,东南光电,做市转让
长江证券股份有限公司,互联网服务,1146.875,26725.0,软件与服务,西安高新区,互联网和相关服务,2014-12-02,,10.69,2016-04-14 00:00:00,,2500.0,831383.OC,楼市通网,做市转让
东莞证券股份有限公司,环保机械,1729.35,29842.65,资本货物,非高新产业区,专用设备制造业,2014-12-02,,7.47,2016-04-14 00:00:00,,3995.0,831386.OC,风华环保,做市转让
中泰证券股份有限公司,专用设备与零部件,4758.325,20202.0,资本货物,非高新产业区,专用设备制造业,2014-12-02,,3.12,2016-04-14 00:00:00,,6475.0,831387.OC,华特磁电,做市转让
中原证券股份有限公司,专用设备与零部件,1248.0,7620.0,资本货物,非高新产业区,通用设备制造业,2014-12-02,,2.54,2016-04-14 00:00:00,,3000.0,831389.OC,万和过滤,做市转让
长江证券股份有限公司,IVR平台软件,2502.5573,74347.004,软件与服务,郑州高新区,软件和信息技术服务业,2014-12-02,,16.04,2016-04-14 00:00:00,,4635.1,831392.OC,天迈科技,做市转让
广发证券股份有限公司,医药电子商务,3493.264,156312.0,医疗保健设备与服务,非高新产业区,批发业,2014-12-02,,20.04,2016-02-25 00:00:00,,7800.0,831397.OC,康泽药业,做市转让
平安证券有限责任公司,行业专用软件,4128.609,189000.0,软件与服务,非高新产业区,互联网和相关服务,2014-12-02,,30.0,2016-04-14 00:00:00,,6300.0,831402.OC,帝联科技,协议转让
申万宏源证券有限公司,专用设备与零部件,3808.3333,85000.0,资本货物,非高新产业区,通用设备制造业,2014-12-02,,17.0,2015-10-13 00:00:00,,5000.0,831403.OC,庆功林,协议转让
兴业证券股份有限公司,行业专用软件,557.9166,,软件与服务,中关村科技园区,软件和信息技术服务业,2014-12-02,,,,,2000.0,831407.OC,万泰中联,协议转让
中泰证券股份有限公司,专用设备与零部件,559.7914,2876.25,资本货物,非高新产业区,专用设备制造业,2014-12-02,,1.95,2016-04-14 00:00:00,,1475.0,831411.OC,三重股份,做市转让
华创证券有限责任公司,油田服务,8000.0,160920.0,商业和专业服务,非高新产业区,专业技术服务业,2014-12-01,,13.41,2014-12-29 00:00:00,,12000.0,831380.OC,地矿股份,协议转让
民生证券股份有限公司,互联网服务,,,软件与服务,中关村科技园区,软件和信息技术服务业,2014-12-01,,,,,510.0,831384.OC,华创网安,协议转让
中原证券股份有限公司,金属包装制品、无机化工原料,5954.58,111249.72,材料Ⅱ,郑州高新区,非金属矿物制品业,2014-11-28,,8.62,2016-04-14 00:00:00,,12906.0,831378.OC,富耐克,做市转让
安信证券股份有限公司,航空零部件,1717.77,18000.0,资本货物,中关村科技园区,铁路、船舶、航空航天和其他运输设备制造业,2014-11-28,,5.0,2016-04-14 00:00:00,,3600.0,831382.OC,智创联合,做市转让
东吴证券股份有限公司,系统集成服务,2019.8374,12325.0,技术硬件与设备,非高新产业区,软件和信息技术服务业,2014-11-27,,2.9,2016-04-06 00:00:00,,4250.0,831334.OC,竞天科技,协议转让
广州证券股份有限公司,涂料与油漆,3202.9166,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2014-11-27,,,,,10000.0,831371.OC,美涂士,协议转让
中山证券有限责任公司,输电设备、系统集成服务,600.0,,资本货物,非高新产业区,批发业,2014-11-26,,,,,1200.0,831368.OC,阳光电通,协议转让
申万宏源证券有限公司,汽车及零配件经销,3499.7414,26793.0,汽车与汽车零部件,非高新产业区,汽车制造业,2014-11-26,,3.9,2016-04-14 00:00:00,,6870.0,831376.OC,金洪股份,做市转让
申万宏源证券有限公司,环卫服务,7183.7926,91438.2,商业和专业服务,非高新产业区,公共设施管理业,2014-11-25,,8.61,2016-04-14 00:00:00,,10620.0,831370.OC,新安洁,做市转让
光大证券股份有限公司,涂料与油漆,549.0,,材料Ⅱ,非高新产业区,化学原料和化学制品制造业,2014-11-24,,,,,5640.0,831374.OC,吉人高新,协议转让
