证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430134.OC,2009,2012-09-10,山西证券股份有限公司,中关村科技园区,电气机械和器材制造业,,2012,9,可来博,7972351.57,3609075.18,10336623.76,7592266.25,999848.88,1368156.29,41999.67,-1473638.48,,,-1176521.33,1053808.41,78573.58,-18.4844,,,,,,,,挂牌前,-3
430147.OC,2009,2012-09-21,申万宏源证券有限公司,中关村科技园区,电气机械和器材制造业,,2012,9,中矿龙科,8298356.67,5237207.83,,,,,,,,,,112400,462852.17,,,,,,,,,挂牌前,-3
430151.OC,2009,2012-10-12,申万宏源证券有限公司,天津滨海高新技术产业开发区,电气机械和器材制造业,,2012,10,亿鑫通,130514467.75,40302580.15,,,,,,,,,,25811456.88,25319434.93,,,,,,,,,挂牌前,-3
430197.OC,2009,2012-12-26,国泰君安证券股份有限公司,天津滨海高新技术产业开发区,专用设备制造业,,2012,12,津伦股份,37668717.41,20892437,,,,,,,,,,6081823.7,10560668.17,,,,,,,,,挂牌前,-3
430202.OC,2009,2012-12-31,申万宏源证券有限公司,中关村科技园区,专用设备制造业,,2012,12,星河科技,15735426.37,8558551.85,,,,,,,,,,3358035.13,3043620.9,,,,,,,,,挂牌前,-3
430211.OC,2009,2013-01-30,财富证券有限责任公司,中关村科技园区,研究和试验发展,,2013,1,丰电科技,36842099.86,8575402.95,,,,,,,,,,12794562.77,2091833.8,,,,,,,,,挂牌前,-3
430213.OC,2010,2013-05-17,太平洋证券股份有限公司,中关村科技园区,软件和信息技术服务业,,2013,5,乐升股份,13451716.28,10075283.85,12149166.74,9296177.57,1207643.13,2360251.21,-27071.57,-1123404.47,-107274.26,-1016130.21,-2293516.75,41420,1129574.27,-8.3514,288744.41,340092.36,,-2773896.58,802341.91,,,挂牌前,-3
430214.OC,2010,2013-05-17,上海证券有限责任公司,上海张江高新技术产业开发区,橡胶和塑料制品业,,2013,5,建中医疗,75896822.44,42840388.11,70892764.83,49998107.29,2565675.37,9907752.37,970973.72,6564796.46,638568.72,5926227.74,-315896.04,11448592.95,30595337.39,8.6422,1770202.33,,-7790558.34,3688833.39,-5751942.13,,,挂牌前,-3
430215.OC,2010,2013-05-16,中泰证券股份有限公司,中关村科技园区,批发业,,2013,5,必可测,21747309.27,5586878.15,20346738.84,14389637.51,1862568.14,3708589.96,35481.86,-597282.93,-59943.11,-537339.82,968111.49,17022983.01,458920.06,-2.7465,126940.38,,809982.87,-7459388.89,7644020.45,,,挂牌前,-3
430216.OC,2010,2013-05-17,光大证券股份有限公司,上海张江高新技术产业开发区,计算机、通信和其他电子设备制造业,,2013,5,风格信息,29881679.5,20158353.26,24904103.25,6155559.36,1451541,14071642.51,111693.13,4533667.92,1941799.97,2591867.95,-5851658.7,12067560.64,457482.14,15.1721,73511.72,14837.19,-4960751.91,-12685617.93,5983089.67,,,挂牌前,-3
430217.OC,2010,2013-05-17,西部证券股份有限公司,上海张江高新技术产业开发区,互联网和相关服务业,,2013,5,申石软件,6901900.27,1363867.6,6036294.94,3329690.76,,1433052.51,24368.19,1267923.59,439100,828823.59,-666750.41,631380.28,177203.25,18.3706,30685.46,,-1581978.21,-3057168.42,2450182.87,,,挂牌前,-3
430218.OC,2010,2013-05-16,中泰证券股份有限公司,天津滨海高新技术产业开发区,软件和信息技术服务业,,2013,5,长虹立川,12197849.1,2487768.71,3408129.56,2795006.07,1200,1188234.61,100467.11,-105803.99,291151.87,-396955.86,-1428448.19,229422.41,1862369.75,-2.1586,153681.74,,124178.21,-3331080.09,1478312.77,,,挂牌前,-3
430219.OC,2010,2013-05-17,西部证券股份有限公司,中关村科技园区,仪器仪表制造业,,2013,5,拓川股份,49759387.97,3778501.43,27029645.05,23107125.03,249573.42,3429544.96,11825.72,-407096.02,,,6364619.73,16586253.46,32688.78,-0.8181,24290.99,91558.8,-4273293.7,-12895162.36,23268644.16,,,挂牌前,-3
430220.OC,2010,2013-07-02,长江证券股份有限公司,天津滨海高新技术产业开发区,专用设备制造业,,2013,7,迈达科技,45020082.04,34579718.75,23236629.63,10332943.43,4067747.6,6538958.03,-69991.96,2632143.89,,,2876430.21,7627978.58,10654484.66,5.8466,666839.67,18000,-50423.8,-742915.59,2284.68,,,挂牌前,-3
430223.OC,2010,2013-07-02,长江证券股份有限公司,武汉东湖高新区,教育,,2013,7,亿童文教,56306661.92,18423362.88,103720289.46,36903813.66,47572438.09,10133217.36,225520.76,5159699.65,,,-4178953.17,3976942.87,2286086.35,9.1636,884896.57,,-12772351.11,-5122828.3,7173341.61,,,挂牌前,-3
