证券代码,年度,挂牌日期,主办券商,所属园区,所属证监会行业,摘牌日期,挂牌年度,挂牌月份,证券简称,资产总计,归属母公司股东的权益,营业收入,营业成本,销售费用,管理费用,财务费用,归属母公司股东的净利润,非经常性损益,扣除非经常性损益后的净利,经营活动产生的现金流量净额,应收账款,固定资产,ROA,折旧,长期待摊费用摊销,存货的减少,经营性应收项目的减少,经营性应付项目的增加,实际披露日期,报告期,挂牌前后,relativeYear
430072.OC,2009,2010-08-31,申万宏源证券有限公司,中关村科技园区,软件和信息技术服务业,,2010,8,亿创科技,23559577.68,18011841.09,6510643.74,2811278.09,578649.01,1040832.5,-17238.82,1700647.21,,,3515969.48,948780,2278232.12,7.2185,168255.84,,-186039.48,-501890.21,1601135.03,,,挂牌前,-1
430709.OC,2012,2014-04-24,太平洋证券股份有限公司,非高新产业区,专用设备制造业,,2014,4,武汉深蓝,142966482.74,73750763.25,122906286.78,58655183.79,9018072.71,21463788.2,1329378.41,25647825.82,581785.76,25066040.06,4212042.95,24799974.76,9457644.14,17.9397,2090531.51,,-4642393.2,-32983465.14,11580558.39,,,挂牌前,-1
832372.OC,2013,2015-04-14,西藏同信证券股份有限公司,非高新产业区,电力、热力生产和供应业,,2015,4,西藏能源,88744176.01,43532056.2,41533887.51,30489422.27,10000,5747612.16,34721.7,3983146.5,1479739.23,2503407.27,-13268372,27308481.16,255167.64,4.4883,43506.31,,-8083637.68,-39572909.79,29805654.83,,,挂牌前,-1
832545.OC,2012,2015-06-04,广州证券股份有限公司,非高新产业区,软件和信息技术服务业,,2015,6,三川田,33910573.28,17458925.07,25767506.77,7474661.77,3467907.1,5539530.19,22087.46,5526902.65,-457677.87,5984600,432926.3,2094447.38,15387713.5,16.2295,386184.45,89989.9,-1129219.78,-3757995.9,-2279897.69,,,挂牌前,-1
832548.OC,2012,2015-06-10,财通证券股份有限公司,非高新产业区,医药制造业,,2015,6,金泉科技,39358926.48,12887356.91,41682952.75,31426440.1,1691208.38,5359941.43,1206996.43,1239631.65,574636.36,664995.29,4049399.93,5947784.43,15007941.49,3.1496,1735666.42,,-1350106.15,-1369721.92,1824063.05,,,挂牌前,-1
832560.OC,2012,2015-06-09,中国银河证券股份有限公司,非高新产业区,非金属矿物制品业,,2015,6,浙江立泰,27783082.64,13162707.54,51287045.03,38789602.54,662854.37,4946139.06,286324.71,5219103.48,1654.68,5217448.8,1076944.15,12310196.12,2111173.13,18.7852,322197.46,,-788675.9,-7635257.05,3277382.37,,,挂牌前,-1
832601.OC,2012,2015-06-19,长江证券股份有限公司,非高新产业区,印刷和记录媒介复制业,,2015,6,天鸿新材,39677747.26,12066900.97,25772854.97,22209088.24,676306.57,1825963.34,321987.16,156961.96,39548.39,117400,6051099.05,3759516.15,15928518.86,0.4103,971399.21,,204445.31,-5795419.62,9605668.59,,,挂牌前,-1
834609.OC,2014,2015-12-03,华福证券有限责任公司,非高新产业区,汽车制造业,,2015,12,万兴股份,190089001.5,36160675.5,108091399.06,70279180.86,8811363.13,15058127.37,1878820.2,11174370.29,4030912.01,7143500,7279172.53,38746396.34,15762601.62,5.8785,3395448.86,,4821668.8,-4612347.76,-7615199.34,,,挂牌前,-1
836715.OC,2014,2016-04-13,安信证券股份有限公司,非高新产业区,专业技术服务业,,2016,4,优力可,5755979.45,-6085805.98,1076667.12,204738.04,2302682.7,3620240.29,2079.14,-5119224.23,-6.73,-5119217.5,-4648960.73,1134786.26,478551.9,-88.9375,24354.34,64482.89,-501811.89,-1555868.89,2372964.84,,,挂牌前,-1
836910.OC,2014,2016-04-21,东海证券股份有限公司,非高新产业区,食品制造业,,2016,4,利民生物,10061071.46,6386838.95,7353580.59,5861313.26,73783,505447.62,497.42,622804.33,15787.5,707046.77,234908.54,2089924.93,324840.52,6.1902,39387.75,,-2049516.48,-1787684.92,3251363.17,,,挂牌前,-1
